VARIABLES = "X"
 "Y"
 "Z"
 "Density"
 "Shear Strain Rate"
 "Mach Number"
 "Pressure"
 "Absolute Pressure"
 "Total Pressure"
 "Temperature"
 "Total Temperature"
 "Turbulent Kinetic Energy"
 "Bulk Energy Flow Rate"
 "X Bulk Momentum Flow Rate"
 "Y Bulk Momentum Flow Rate"
 "Z Bulk Momentum Flow Rate"
 "X Wall Shear"
 "Y Wall Shear"
 "Z Wall Shear"
 "U"
 "V"
 "W"
 "Dynamic Viscosity"
 "Eddy Viscosity"
 "X Vorticity"
 "Y Vorticity"
 "Z Vorticity"
 "Y Plus"
 "Solver Y Plus"
 "Node UserID"
 "Element UserID"
 "Material ID"
 "Part ID"
 "Property ID"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                    7.9                    0.15     0.00280186791194129         1.1376612794989        2649.96957628231       0.167766301025936       -4496.38903057879        96828.6101725619       -2588.10653202087         296.45214206327        298.122160888957        26.7387595680713                       0                       0                       0                       0                       0                       0                       0        57.9166712496011   -0.000237669210499975    0.000806876784976167   1.83100000867853E-005      0.0034310066002315      0.0115985961251371        2650.56337421061     -0.0136701111649815                       0                       0        94209.9556327946        82859.6443575408                       1                       1                       1 
                    7.9                    0.15     0.00303535690460307         1.1376615696323        2443.15180777266       0.169444133499754       -4496.38881461333        96828.6101725619       -2549.74147881062         296.45206778912        298.155667461864        26.6371444139015                       0                       0                       0                       0                       0                       0                       0        58.4958892061146   -0.000240056175545353    0.000880381501714475   1.83100000867853E-005     0.00371472844425247      0.0100711604091855        2443.69098504877     -0.0139292923454847                       0                       0        100131.364983267        88600.3661312617                       1                       1                       1 
                    7.9                    0.15     0.00326884589726484        1.13766188041991        2275.53838791141       0.170970164527144       -4496.38864643674        96828.6101725619       -2514.40281314082        296.451997380527        298.186517389105        26.5471786935058                       0                       0                       0                       0                       0                       0                       0        59.0227026720807   -0.000242095424124402    0.000953453851930671   1.83100000867853E-005     0.00399750380116002     0.00893184260162953        2276.03386297211     -0.0140412765661283                       0                       0        105899.236884923        94192.2355417473                       1                       1                       1 
                    7.9                    0.15     0.00350233488992662        1.13766218227739        2107.92382042068       0.172496213972938       -4496.38845997122        96828.6101725619       -2479.06336104762        296.451926971934         298.21736960246        26.4572053289148                       0                       0                       0                       0                       0                       0                       0        59.5495225677439   -0.000244065828253632     0.00102629028394468   1.83100000867853E-005       0.004280276707513     0.00776598748575155        2108.37546981578     -0.0141292790144269                       0                       0        111667.108786579        99784.1049522329                       1                       1                       1 
                    7.9                    0.15     0.00373582388258839        1.13766243535456         1974.8078983182       0.173854197219951       -4496.38827302862        96828.6101725619       -2447.17834466186        296.451859385239        298.245203362789        26.3770303014765                       0                       0                       0                       0                       0                       0                       0        60.0183216357953    -0.00024570466057989     0.00110363301702605   1.83100000867853E-005     0.00456032624899691     0.00684283848294074        1975.22556418494     -0.0142596654854893                       0                       0        117203.810907309        105151.858562535                       1                       1                       1 
                    7.9                    0.15     0.00396931287525017        1.13766265848564        1865.02201859421       0.175098447103601       -4496.38812290571        96828.6101725619       -2417.63314383825        296.451793706464        298.270995530193        26.3035257857807                       0                       0                       0                       0                       0                       0                       0        60.4478572519812   -0.000247510545770282     0.00118307655667254   1.83100000867853E-005     0.00483855267771424     0.00607695858535074        1865.41280706623     -0.0144495503357664                       0                       0        122584.216083846        110368.084518258                       1                       1                       1 
                    7.9                    0.15     0.00420280186791194         1.1376628805299        1755.23633474148       0.176342692368261        -4496.3879727828        96828.6101725619       -2388.08813220848         296.45172802769        298.296787975823        26.2300234437272                       0                       0                       0                       0                       0                       0                       0        60.8773913031445    -0.00024933452536636     0.00126241753393529   1.83100000867853E-005     0.00511678005740013     0.00530670852872507        1755.60026028654     -0.0146381497312742                       0                       0        127964.621260384         115584.31047398                       1                       1                       1 
                    7.9                    0.15     0.00443629086057372        1.13766312502349        1657.24009008079        0.17751678823733       -4496.38785022038        96828.6101725619       -2360.02149986385        296.451662360166        298.321281916474        26.1596611550276                       0                       0                       0                       0                       0                       0                       0        61.2827078827646   -0.000250623175590633     0.00134307695704492   1.83100000867853E-005     0.00539297738692475     0.00468355961267811        1657.57948408642      -0.014798760252162                       0                       0        133220.748678465        120680.050918275                       1                       1                       1 
                    7.9                    0.15     0.00466977985323549        1.13766339027306         1581.7257229065       0.178556987909612       -4496.38774407289        96828.6101725619       -2334.77997947693        296.451594456274        298.343306106241         26.095366635793                       0                       0                       0                       0                       0                       0                       0        61.6418005675965   -0.000251447761240596     0.00142665067115971   1.83100000867853E-005     0.00566534363674632     0.00423366968640504        1582.04619921937     -0.0149055235425611                       0                       0        138239.960321698        125546.104903366                       1                       1                       1 
                    7.9                    0.15     0.00490326884589726        1.13766366379839        1506.21288111854       0.179597153444423       -4496.38760402792        96828.6101725619       -2309.53981498898         296.45152443379        298.365328177416        26.0310909190635                       0                       0                       0                       0                       0                       0                       0        62.0008813353477   -0.000252312386086687     0.00151333315801287   1.83100000867853E-005     0.00593772103943474     0.00379965858159193         1506.5151515856     -0.0150460754937538                       0                       0        143259.171964931        130412.158888456                       1                       1                       1 
                    7.9                    0.15     0.00513675783855904        1.13766392560245        1430.69787886667        0.18063736732946       -4496.38751199326        96828.6101725619       -2284.29773008867        296.451457411951        298.387353249235        25.9667885716157                       0                       0                       0                       0                       0                       0                       0        62.3599789817232   -0.000253120301864055     0.00159561256928221   1.83100000867853E-005     0.00621008264588461     0.00334315768516196        1430.98093527144     -0.0151387712522072                       0                       0        148278.383608163        135278.212873547                       1                       1                       1 
                    7.9                    0.15     0.00537024683122081        1.13766418096065        1373.72270453888        0.18154562984645       -4496.38733396697        96828.6101725619       -2261.89965537856        296.451392040252        298.406891112301        25.9071125614856                       0                       0                       0                       0                       0                       0                       0        62.6735245042457   -0.000253295656835578     0.00168110034107996   1.83100000867853E-005     0.00647658224258243     0.00314428987457934         1373.9928317574     -0.0152595979887155                       0                       0        153008.938110359        139864.417884075                       1                       1                       1 
                    7.9                    0.15     0.00560373582388259        1.13766443614069        1319.83066386365       0.182431892064374        -4496.3872013396        96828.6101725619       -2239.97705273296        296.451326714161        298.426015325518        25.8482464175897                       0                       0                       0                       0                       0                       0                       0        62.9794748434814   -0.000253802981717363     0.00176934906268747   1.83100000867853E-005     0.00674213718254249      0.0028830624362649        1320.08842907078     -0.0154434038116913                       0                       0        157691.512332154        144404.106698188                       1                       1                       1 
                    7.9                    0.15     0.00583722481654436        1.13766469132074         1265.9386530746       0.183318152814114       -4496.38707017009        96828.6101725619       -2218.05450985973         296.45126138807        298.445139538736        25.7893811677738                       0                       0                       0                       0                       0                       0                       0        63.2854246701871   -0.000254320266201346     0.00185764132618536   1.83100000867853E-005     0.00700769277873654     0.00261937502313087        1266.18404351404     -0.0156284674016646                       0                       0        162374.086553948          148943.7955123                       1                       1                       1 
                    7.9                    0.15     0.00607071380920614          1.137664944445         1213.7659611497       0.184190079716912       -4496.38688309716        96828.6102897884       -2196.44563024025        296.451196588259        298.463986503839         25.730868584287                       0                       0                       0                       0                       0                       0                       0        63.5864264701139   -0.000254455785058561     0.00194415552808554   1.83100000867853E-005      0.0072723044127295     0.00247114326413286        1213.99994857659     -0.0157326171862531                       0                       0        167018.936974388        153446.911639911                       1                       1                       1 
