VARIABLES = "X"
 "Y"
 "Z"
 "Density"
 "Shear Strain Rate"
 "Mach Number"
 "Pressure"
 "Absolute Pressure"
 "Total Pressure"
 "Temperature"
 "Total Temperature"
 "Aspect Ratio"
 "Bulk Energy Flow Rate"
 "X Bulk Momentum Flow Rate"
 "Y Bulk Momentum Flow Rate"
 "Z Bulk Momentum Flow Rate"
 "X Wall Shear"
 "Y Wall Shear"
 "Z Wall Shear"
 "U"
 "V"
 "W"
 "Dynamic Viscosity"
 "Eddy Viscosity"
 "X Vorticity"
 "Y Vorticity"
 "Z Vorticity"
 "Y Plus"
 "Solver Y Plus"
 "Node UserID"
 "Element UserID"
 "Material ID"
 "Part ID"
 "Property ID"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                    7.9                    0.15   1.00033344448149E-005        1.13731761577586        59982.7017094725      0.0207910063966013       -4495.93556202429        96829.0636872858        -4349.4620374394        296.543124422306        296.671347088747        267.114624023437                       0    0.000881690617179774  -1.25824598541603E-008       0.423820450993433        7.48434120222118   -0.000103746732926478  -7.08863572871166E-013        7.17857125769852  -9.90652367489332E-005  -7.25350798245607E-007   1.83100000867853E-005    9.4244802469643E-005       0.818931592754701        60040.1258632803      0.0019045777807525        7.12572717860825         8.8506622364159        14993.9123329463        12512.7910626208                       1                       1                       1 
                    7.9                    0.15   1.10036678892964E-005        1.13731800810518        59982.7060468556      0.0228701070362589       -4495.93556202429        96829.0636872858       -4334.81468498093        296.543022154335         296.68406708742        267.114624023438                       0    0.000859639124322521  -1.22677345598294E-008       0.413220543324831        7.29715435336515   -0.000101151722565697  -6.90394183413503E-013         7.8964283834676   -0.000108971758795975   -7.9788665768722E-007   1.83100000867853E-005   9.53617236795859E-005       0.818931592754701        60040.1258632803      0.0019045777807525        6.94750958380242        8.62930346082042         15414.052359673        12716.5189622474                       1                       1                       1 
                    7.9                    0.15   1.20040013337779E-005         1.1373184004345        59982.7103842387      0.0249492076759166       -4495.93556202429        96829.0636872858       -4320.16733252247        296.542919886364        296.696787086093        267.114624023437                       0    0.000837587631465268  -1.19530092654986E-008       0.402620635656229        7.10996750450911  -9.85567122049151E-005   -6.7192479395584E-013        8.61428550923668   -0.000118878280843016  -8.70422517128833E-007   1.83100000867853E-005   9.64786448895289E-005       0.818931592754701        60040.1258632803      0.0019045777807525        6.76929198899659        8.40794468522495        15834.1923863996        12920.2468618739                       1                       1                       1 
                    7.9                    0.15   1.30043347782594E-005        1.13731879276382        59982.7147216218      0.0270283083155742       -4495.93556202429        96829.0636872858         -4305.519980064        296.542817618393        296.709507084766        267.114624023438                       0    0.000815536138608016  -1.16382839711678E-008       0.392020727987627        6.92278065565307  -9.59617018441335E-005  -6.53455404498177E-013        9.33214263500576   -0.000128784802890058  -9.42958376570446E-007   1.83100000867853E-005   9.75955660994718E-005       0.818931592754701        60040.1258632803      0.0019045777807525        6.59107439419076        8.18658590962948        16254.3324131263        13123.9747615005                       1                       1                       1 
                    7.9                    0.15   1.40046682227409E-005        1.13731918509314        59982.7190590048      0.0291074089552318       -4495.93556202429        96829.0636872858       -4290.87262760554        296.542715350421        296.722227083439        267.114624023438                       0    0.000793484645750763  -1.13235586768369E-008       0.381420820319025        6.73559380679704  -9.33666914833518E-005  -6.34986015040513E-013        10.0499997607748   -0.000138691324937099  -1.01549423601206E-006   1.83100000867853E-005   9.87124873094148E-005       0.818931592754701        60040.1258632803      0.0019045777807525        6.41285679938493        7.96522713403401        16674.4724398529         13327.702661127                       1                       1                       1 
                    7.9                    0.15   1.50050016672224E-005        1.13731957742246        59982.7233963879      0.0311865095948895       -4495.93556202429        96829.0636872858       -4276.22527514707         296.54261308245        296.734947082112        267.114624023437                       0     0.00077143315289351  -1.10088333825061E-008       0.370820912650423          6.548406957941  -9.07716811225701E-005   -6.1651662558285E-013        10.7678568865439   -0.000148597846984141  -1.08803009545367E-006   1.83100000867853E-005   9.98294085193577E-005       0.818931592754701        60040.1258632803      0.0019045777807525         6.2346392045791        7.74386835843854        17094.6124665796        13531.4305607536                       1                       1                       1 
                    7.9                    0.15   1.60053351117039E-005        1.13731996975178         59982.727733771      0.0332656102345471       -4495.93556202429        96829.0636872858       -4261.57792268861        296.542510814479        296.747667080785        267.114624023437                       0    0.000749381660036257  -1.06941080881752E-008       0.360221004981821        6.36122010908496  -8.81766707617884E-005  -5.98047236125187E-013         11.485714012313   -0.000158504369031182  -1.16056595489528E-006   1.83100000867853E-005    0.000100946329729301       0.818931592754701        60040.1258632803      0.0019045777807525        6.05642160977327        7.52250958284307        17514.7524933062        13735.1584603801                       1                       1                       1 
                    7.9                    0.15   1.70056685561854E-005         1.1373203620811        59982.7320711541      0.0353447108742048       -4495.93556202429        96829.0636872858       -4246.93057023014        296.542408546508        296.760387079458        267.114624023438                       0    0.000727330167179005  -1.03793827938444E-008       0.349621097313219        6.17403326022893  -8.55816604010068E-005  -5.79577846667524E-013        12.2035711380821   -0.000168410891078224   -1.2331018143369E-006   1.83100000867853E-005    0.000102063250939244       0.818931592754701        60040.1258632803      0.0019045777807525        5.87820401496745         7.3011508072476        17934.8925200329        13938.8863600066                       1                       1                       1 
                    7.9                    0.15   1.80060020006669E-005        1.13732075441042        59982.7364085372      0.0374238115138624       -4495.93556202429        96829.0636872858       -4232.28321777168        296.542306278537        296.773107078131        267.114624023438                       0    0.000705278674321752  -1.00646574995135E-008       0.339021189644617        5.98684641137289  -8.29866500402251E-005  -5.61108457209861E-013        12.9214282638512   -0.000178317413125265  -1.30563767377851E-006   1.83100000867853E-005    0.000103180172149187       0.818931592754701        60040.1258632803      0.0019045777807525        5.69998642016162        7.07979203165213        18355.0325467595        14142.6142596332                       1                       1                       1 
                    7.9                    0.15   1.90063354451484E-005        1.13732114673974        59982.7407459203        0.03950291215352       -4495.93556202429        96829.0636872858       -4217.63586531322        296.542204010565        296.785827076804        267.114624023438                       0    0.000683227181464499  -9.74993220518268E-009       0.328421281976015        5.79965956251686  -8.03916396794434E-005  -5.42639067752197E-013        13.6392853896202   -0.000188223935172307  -1.37817353322012E-006   1.83100000867853E-005    0.000104297093359129       0.818931592754701        60040.1258632803      0.0019045777807525        5.52176882535579        6.85843325605666        18775.1725734862        14346.3421592597                       1                       1                       1 
                    7.9                    0.15   2.00066688896299E-005        1.13732153906906        59982.7450833034      0.0415820127931777       -4495.93556202429        96829.0636872858       -4202.98851285475        296.542101742594        296.798547075477        267.114624023438                       0    0.000661175688607246  -9.43520691085184E-009       0.317821374307412        5.61247271366082  -7.77966293186617E-005  -5.24169678294534E-013        14.3571425153893   -0.000198130457219348  -1.45070939266174E-006   1.83100000867853E-005    0.000105414014569072       0.818931592754701        60040.1258632803      0.0019045777807525        5.34355123054996        6.63707448046119        19195.3126002128        14550.0700588863                       1                       1                       1 
                    7.9                    0.15   2.10070023341114E-005        1.13732193139838        59982.7494206865      0.0436611134328353       -4495.93556202429        96829.0636872858       -4188.34116039629        296.541999474623         296.81126707415        267.114624023438                       0    0.000639124195749994  -9.12048161652099E-009        0.30722146663881        5.42528586480478  -7.52016189578801E-005  -5.05700288836871E-013        15.0749996411584    -0.00020803697926639  -1.52324525210335E-006   1.83100000867853E-005    0.000106530935779015       0.818931592754701        60040.1258632803      0.0019045777807525        5.16533363574413        6.41571570486572        19615.4526269394        14753.7979585128                       1                       1                       1 
                    7.9                    0.15   2.20073357785929E-005         1.1373223237277        59982.7537580696      0.0457402140724929       -4495.93556202429        96829.0636872858       -4173.69380793782        296.541897206652        296.823987072822        267.114624023438                       0    0.000617072702892741  -8.80575632219015E-009       0.296621558970208        5.23809901594875  -7.26066085970984E-005  -4.87230899379208E-013        15.7928567669275   -0.000217943501313431  -1.59578111154496E-006   1.83100000867853E-005    0.000107647856988958       0.818931592754701        60040.1258632803      0.0019045777807525         4.9871160409383        6.19435692927025        20035.5926536661        14957.5258581394                       1                       1                       1 
                    7.9                    0.15   2.30076692230744E-005        1.13732271605702        59982.7580954526      0.0478193147121506       -4495.93556202429        96829.0636872858       -4159.04645547936        296.541794938681        296.836707071495        267.114624023438                       0    0.000595021210035488   -8.4910310278593E-009       0.286021651301606        5.05091216709271  -7.00115982363167E-005  -4.68761509921545E-013        16.5107138926966   -0.000227850023360473  -1.66831697098657E-006   1.83100000867853E-005    0.000108764778198901       0.818931592754701        60040.1258632803      0.0019045777807525        4.80889844613247        5.97299815367477        20455.7326803927        15161.2537577659                       1                       1                       1 
