VARIABLES = "X"
 "Y"
 "Z"
 "Density"
 "Shear Strain Rate"
 "Mach Number"
 "Pressure"
 "Absolute Pressure"
 "Total Pressure"
 "Temperature"
 "Total Temperature"
 "Aspect Ratio"
 "Bulk Energy Flow Rate"
 "X Bulk Momentum Flow Rate"
 "Y Bulk Momentum Flow Rate"
 "Z Bulk Momentum Flow Rate"
 "X Wall Shear"
 "Y Wall Shear"
 "Z Wall Shear"
 "U"
 "V"
 "W"
 "Dynamic Viscosity"
 "Eddy Viscosity"
 "X Vorticity"
 "Y Vorticity"
 "Z Vorticity"
 "Y Plus"
 "Solver Y Plus"
 "Node UserID"
 "Element UserID"
 "Material ID"
 "Part ID"
 "Property ID"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                    7.9                    0.15    0.000599199733244415        1.13733439906091        10381.0765061654          0.138931369399        -4495.9357106031        96829.0636872858       -3187.25674237203        296.538754665251        297.684363976562         139.96494582701                       0                       0                       0                       0                       0                       0                       0        47.9692155979807   -0.000662953258283293    0.000130655497936565   1.83100000867853E-005     0.00088436021711787         0.1434862981434        10387.0290264566    -0.00358202272821378                       0                       0        188583.666136889          172716.0665337                       1                       1                       1 
                    7.9                    0.15    0.000600200066688896        1.13733440084908        10365.3394317698       0.138961157772959       -4495.93570816164        96829.0636872858       -3186.69520659272        296.538754207477        297.684855015187        139.844115839784                       0                       0                       0                       0                       0                       0                       0        47.9795006865516   -0.000663097234895555    0.000130931020059807   1.83100000867853E-005    0.000885735379757093       0.143244411665129        10371.2813463592    -0.00358495257743117                       0                       0        188793.670752511        172919.731009974                       1                       1                       1 
                    7.9                    0.15    0.000601200400133378        1.13733440263726        10349.6023573742       0.138990946146917       -4495.93570572018        96829.0636872858       -3186.13367081341        296.538753749704        297.685346053811        139.723285852559                       0                       0                       0                       0                       0                       0                       0        47.9897857751224   -0.000663241211507818    0.000131206542183048   1.83100000867853E-005    0.000887110542396316       0.143002525186857        10355.5336662617    -0.00358788242664857                       0                       0        189003.675368133        173123.395486248                       1                       1                       1 
                    7.9                    0.15    0.000602200733577859        1.13733440494502        10333.8657682069       0.139020733741508       -4495.93570540692        96829.0636872858        -3185.5721690852        296.538753158918        297.685837092436        139.602455865334                       0                       0                       0                       0                       0                       0                       0        48.0000705810425   -0.000663391138665308    0.000131425242815028   1.83100000867853E-005    0.000888485683470997       0.142746456810044        10339.7860457537     -0.0035901947911746                       0                       0        189213.679983755        173327.059962523                       1                       1                       1 
                    7.9                    0.15    0.000603201067022341        1.13733440732926        10318.1292504641       0.139050521221377       -4495.93570540692        96829.0636872858       -3185.01067236925        296.538752548553         297.68632813106        139.481625878109                       0                       0                       0                       0                       0                       0                       0         48.010355345357    -0.00066354194173104    0.000131635579438226   1.83100000867853E-005     0.00088986082137142       0.142488300886401        10324.0384340172    -0.00359241626320086                       0                       0        189423.684599377        173530.724438797                       1                       1                       1 
                    7.9                    0.15    0.000604201400466822        1.13733440948846        10302.3925225595       0.139080309038806       -4495.93570448515        96829.0636872858        -3184.4491609051        296.538751995798        297.686819169684        139.360795890883                       0                       0                       0                       0                       0                       0                       0        48.0206402320931    -0.00066369016749898    0.000131870526563223   1.83100000867853E-005     0.00089123596861187       0.142236287421039        10308.2907964713    -0.00359490517995218                       0                       0        189633.689214999        173734.388915071                       1                       1                       1 
                    7.9                    0.15    0.000605201733911304        1.13733441127663         10286.655448164       0.139110097412764       -4495.93570204369        96829.0636872858       -3183.88762512579        296.538751538024        297.687310208309        139.239965903658                       0                       0                       0                       0                       0                       0                       0         48.030925320664   -0.000663834144111242    0.000132146048686464   1.83100000867853E-005    0.000892611131251093       0.141994400942768        10292.5431163738    -0.00359783502916958                       0                       0        189843.693830621        173938.053391345                       1                       1                       1 
                    7.9                    0.15    0.000606202067355785        1.13733441306481        10270.9183737684       0.139139885786723       -4495.93569960224        96829.0636872858       -3183.32608934648         296.53875108025        297.687801246933        139.119135916433                       0                       0                       0                       0                       0                       0                       0        48.0412104092348   -0.000663978120723505    0.000132421570809705   1.83100000867853E-005    0.000893986293890316       0.141752514464497        10276.7954362764    -0.00360076487838698                       0                       0        190053.698446243        174141.717867619                       1                       1                       1 
                    7.9                    0.15    0.000607202400800267        1.13733441485299        10255.1812993728       0.139169674160682       -4495.93569716078        96829.0636872858       -3182.76455356717        296.538750622477        297.688292285558        138.998305929207                       0                       0                       0                       0                       0                       0                       0        48.0514954978057   -0.000664122097335767    0.000132697092932947   1.83100000867853E-005     0.00089536145652954       0.141510627986226         10261.047756179    -0.00360369472760437                       0                       0        190263.703061865        174345.382343894                       1                       1                       1 
                    7.9                    0.15    0.000608202734244748        1.13733441664117        10239.4442249772        0.13919946253464       -4495.93569471932        96829.0636872858       -3182.20301778786        296.538750164703        297.688783324182        138.877475941982                       0                       0                       0                       0                       0                       0                       0        48.0617805863766    -0.00066426607394803    0.000132972615056188   1.83100000867853E-005    0.000896736619168763       0.141268741507955        10245.3000760815    -0.00360662457682177                       0                       0        190473.707677487        174549.046820168                       1                       1                       1 
                    7.9                    0.15     0.00060920306768923        1.13733441842935        10223.7071505816       0.139229250908599       -4495.93569227786        96829.0636872858       -3181.64148200855        296.538749706929        297.689274362806        138.756645954757                       0                       0                       0                       0                       0                       0                       0        48.0720656749475   -0.000664410050560292    0.000133248137179429   1.83100000867853E-005    0.000898111781807986       0.141026855029684        10229.5523959841    -0.00360955442603917                       0                       0        190683.712293109        174752.711296442                       1                       1                       1 
                    7.9                    0.15    0.000610203401133711        1.13733442021753        10207.9700761861       0.139259039282557        -4495.9356898364        96829.0636872858       -3181.07994622925        296.538749249155        297.689765401431        138.635815967531                       0                       0                       0                       0                       0                       0                       0        48.0823507635183   -0.000664554027172555     0.00013352365930267   1.83100000867853E-005    0.000899486944447209       0.140784968551412        10213.8047158867    -0.00361248427525656                       0                       0        190893.716908731        174956.375772716                       1                       1                       1 
                    7.9                    0.15    0.000611203734578193        1.13733442200571        10192.2330017905       0.139288827656516       -4495.93568739494        96829.0636872858       -3180.51841044994        296.538748791382        297.690256440055        138.514985980306                       0                       0                       0                       0                       0                       0                       0        48.0926358520892   -0.000664698003784817    0.000133799181425911   1.83100000867853E-005    0.000900862107086432       0.140543082073141        10198.0570357893    -0.00361541412447396                       0                       0        191103.721524353         175160.04024899                       1                       1                       1 
                    7.9                    0.15    0.000612204068022674        1.13733442379389        10176.4959273949       0.139318616030474       -4495.93568495348        96829.0636872858       -3179.95687467063        296.538748333608         297.69074747868        138.394155993081                       0                       0                       0                       0                       0                       0                       0        48.1029209406601    -0.00066484198039708    0.000134074703549153   1.83100000867853E-005    0.000902237269725655        0.14030119559487        10182.3093556918    -0.00361834397369136                       0                       0        191313.726139975        175363.704725265                       1                       1                       1 
                    7.9                    0.15    0.000613204401467156        1.13733442558206        10160.7588529993       0.139348404404433       -4495.93568251202        96829.0636872858       -3179.39533889132        296.538747875834        297.691238517304        138.273326005855                       0                       0                       0                       0                       0                       0                       0        48.1132060292309   -0.000664985957009342    0.000134350225672394   1.83100000867853E-005    0.000903612432364878       0.140059309116599        10166.5616755944    -0.00362127382290875                       0                       0        191523.730755597        175567.369201539                       1                       1                       1 
                    7.9                    0.15    0.000614204734911637        1.13733442737024        10145.0217786037       0.139378192778391       -4495.93568007056        96829.0636872858       -3178.83380311201        296.538747418061        297.691729555928         138.15249601863                       0                       0                       0                       0                       0                       0                       0        48.1234911178018   -0.000665129933621605    0.000134625747795635   1.83100000867853E-005    0.000904987595004101       0.139817422638328         10150.813995497    -0.00362420367212615                       0                       0        191733.735371219        175771.033677813                       1                       1                       1 
                    7.9                    0.15    0.000615205068356119        1.13733442915842        10129.2847042081        0.13940798115235        -4495.9356776291        96829.0636872858        -3178.2722673327        296.538746960287        297.692220594553        138.031666031405                       0                       0                       0                       0                       0                       0                       0        48.1337762063727   -0.000665273910233867    0.000134901269918876   1.83100000867853E-005    0.000906362757643325       0.139575536160057        10135.0663153995    -0.00362713352134355                       0                       0        191943.739986841        175974.698154087                       1                       1                       1 
                    7.9                    0.15      0.0006162054018006         1.1373344309466        10113.5476298126       0.139437769526308       -4495.93567518764        96829.0636872858       -3177.71073155339        296.538746502513        297.692711633177        137.910836044179                       0                       0                       0                       0                       0                       0                       0        48.1440612949436    -0.00066541788684613    0.000135176792042118   1.83100000867853E-005    0.000907737920282548       0.139333649681786        10119.3186353021    -0.00363006337056094                       0                       0        192153.744602463        176178.362630362                       1                       1                       1 
                    7.9                    0.15    0.000617205735245082        1.13733443273478         10097.810555417       0.139467557900267       -4495.93567274618        96829.0636872858       -3177.14919577408        296.538746044739        297.693202671802        137.790006056954                       0                       0                       0                       0                       0                       0                       0        48.1543463835144   -0.000665561863458392    0.000135452314165359   1.83100000867853E-005    0.000909113082921771       0.139091763203514        10103.5709552047    -0.00363299321977834                       0                       0        192363.749218085        176382.027106636                       1                       1                       1 
                    7.9                    0.15    0.000618206068689563        1.13733443452296        10082.0734810214       0.139497346274226       -4495.93567030472        96829.0636872858       -3176.58765999477        296.538745586966        297.693693710426        137.669176069729                       0                       0                       0                       0                       0                       0                       0        48.1646314720853   -0.000665705840070654      0.0001357278362886   1.83100000867853E-005    0.000910488245560994       0.138849876725243        10087.8232751072    -0.00363592306899574                       0                       0        192573.753833707         176585.69158291                       1                       1                       1 
                    7.9                    0.15    0.000619206402134045        1.13733443631114        10066.3364066258       0.139527134648184       -4495.93566786326        96829.0636872858       -3176.02612421546        296.538745129192         297.69418474905        137.548346082503                       0                       0                       0                       0                       0                       0                       0        48.1749165606562   -0.000665849816682917    0.000136003358411841   1.83100000867853E-005    0.000911863408200217       0.138607990246972        10072.0755950098    -0.00363885291821313                       0                       0        192783.758449329        176789.356059184                       1                       1                       1 
                    7.9                    0.15    0.000620206735578526        1.13733443809931        10050.5993322302       0.139556923022143        -4495.9356654218        96829.0636872858       -3175.46458843615        296.538744671418        297.694675787675        137.427516095278                       0                       0                       0                       0                       0                       0                       0        48.1852016492271   -0.000665993793295179    0.000136278880535083   1.83100000867853E-005     0.00091323857083944       0.138366103768701        10056.3279149124    -0.00364178276743053                       0                       0        192993.763064951        176993.020535458                       1                       1                       1 
                    7.9                    0.15    0.000621207069023008        1.13733443988749        10034.8622578346       0.139586711396101       -4495.93566298034        96829.0636872858       -3174.90305265684        296.538744213644        297.695166826299        137.306686108053                       0                       0                       0                       0                       0                       0                       0        48.1954867377979   -0.000666137769907442    0.000136554402658324   1.83100000867853E-005    0.000914613733478663        0.13812421729043        10040.5802348149    -0.00364471261664793                       0                       0        193203.767680573        177196.685011733                       1                       1                       1 
                    7.9                    0.15    0.000622207402467489        1.13733444167567        10019.1251834391        0.13961649977006       -4495.93566053888        96829.0636872858       -3174.34151687753        296.538743755871        297.695657864924        137.185856120827                       0                       0                       0                       0                       0                       0                       0        48.2057718263688   -0.000666281746519704    0.000136829924781565   1.83100000867853E-005    0.000915988896117887       0.137882330812159        10024.8325547175    -0.00364764246586532                       0                       0        193413.772296195        177400.349488007                       1                       1                       1 
                    7.9                    0.15    0.000623207735911971        1.13733444346385        10003.3881090435       0.139646288144018       -4495.93565809742        96829.0636872858       -3173.77998109822        296.538743298097        297.696148903548        137.065026133602                       0                       0                       0                       0                       0                       0                       0        48.2160569149397   -0.000666425723131967    0.000137105446904806   1.83100000867853E-005     0.00091736405875711       0.137640444333888        10009.0848746201    -0.00365057231508272                       0                       0        193623.776911817        177604.013964281                       1                       1                       1 
                    7.9                    0.15    0.000624208069356452        1.13733444525203         9987.6510346479       0.139676076517977       -4495.93565565596        96829.0636872858       -3173.21844531891        296.538742840323        297.696639942172        136.944196146377                       0                       0                       0                       0                       0                       0                       0        48.2263420035106   -0.000666569699744229    0.000137380969028047   1.83100000867853E-005    0.000918739221396333       0.137398557855616        9993.33719452265    -0.00365350216430012                       0                       0        193833.781527439        177807.678440555                       1                       1                       1 
                    7.9                    0.15    0.000625208402800934        1.13733444704021        9971.91396025232       0.139705864891935        -4495.9356532145        96829.0636872858       -3172.65690953961        296.538742382549        297.697130980797        136.823366159151                       0                       0                       0                       0                       0                       0                       0        48.2366270920814   -0.000666713676356492    0.000137656491151289   1.83100000867853E-005    0.000920114384035556       0.137156671377345        9977.58951442522    -0.00365643201351751                       0                       0        194043.786143061        178011.342916829                       1                       1                       1 
                    7.9                    0.15    0.000626208736245415        1.13733444882839        9956.17688585674       0.139735653265894       -4495.93565077304        96829.0636872858        -3172.0953737603        296.538741924776        297.697622019421        136.702536171926                       0                       0                       0                       0                       0                       0                       0        48.2469121806523   -0.000666857652968754     0.00013793201327453   1.83100000867853E-005    0.000921489546674779       0.136914784899074        9961.84183432778    -0.00365936186273491                       0                       0        194253.790758684        178215.007393104                       1                       1                       1 
                    7.9                    0.15    0.000627209069689897        1.13733445061656        9940.43981146116       0.139765441639853       -4495.93564833158        96829.0636872858       -3171.53383798099        296.538741467002        297.698113058046        136.581706184701                       0                       0                       0                       0                       0                       0                       0        48.2571972692232   -0.000667001629581017    0.000138207535397771   1.83100000867853E-005    0.000922864709314002       0.136672898420803        9946.09415423035    -0.00366229171195231                       0                       0        194463.795374306        178418.671869378                       1                       1                       1 
                    7.9                    0.15    0.000628209403134378        1.13733445240474        9924.70273706558       0.139795230013811       -4495.93564589012        96829.0636872858       -3170.97230220168        296.538741009228         297.69860409667        136.460876197475                       0                       0                       0                       0                       0                       0                       0         48.267482357794   -0.000667145606193279    0.000138483057521012   1.83100000867853E-005    0.000924239871953225       0.136431011942532        9930.34647413292     -0.0036652215611697                       0                       0        194673.799989928        178622.336345652                       1                       1                       1 
                    7.9                    0.15     0.00062920973657886        1.13733445419292        9908.96566266999        0.13982501838777       -4495.93564344866        96829.0636872858       -3170.41076642237        296.538740551455        297.699095135294         136.34004621025                       0                       0                       0                       0                       0                       0                       0        48.2777674463649   -0.000667289582805542    0.000138758579644254   1.83100000867853E-005    0.000925615034592449       0.136189125464261        9914.59879403549     -0.0036681514103871                       0                       0         194883.80460555        178826.000821926                       1                       1                       1 
                    7.9                    0.15    0.000630210070023341         1.1373344559811        9893.22858827441       0.139854806761728        -4495.9356410072        96829.0636872858       -3169.84923064306        296.538740093681        297.699586173919        136.219216223025                       0                       0                       0                       0                       0                       0                       0        48.2880525349358   -0.000667433559417804    0.000139034101767495   1.83100000867853E-005    0.000926990197231672        0.13594723898599        9898.85111393806    -0.00367108125960449                       0                       0        195093.809221172          179029.6652982                       1                       1                       1 
                    7.9                    0.15    0.000631210403467823        1.13733445776928        9877.49151387883       0.139884595135687       -4495.93563856574        96829.0636872858       -3169.28769486375        296.538739635907        297.700077212543        136.098386235799                       0                       0                       0                       0                       0                       0                       0        48.2983376235067   -0.000667577536030067    0.000139309623890736   1.83100000867853E-005    0.000928365359870895       0.135705352507719        9883.10343384063    -0.00367401110882189                       0                       0        195303.813836794        179233.329774475                       1                       1                       1 
                    7.9                    0.15    0.000632210736912304        1.13733445955746        9861.75443948325       0.139914383509645       -4495.93563612428        96829.0636872858       -3168.72615908444        296.538739178133        297.700568251168        135.977556248574                       0                       0                       0                       0                       0                       0                       0        48.3086227120775   -0.000667721512642329    0.000139585146013977   1.83100000867853E-005    0.000929740522510118       0.135463466029447         9867.3557537432    -0.00367694095803929                       0                       0        195513.818452416        179436.994250749                       1                       1                       1 
                    7.9                    0.15    0.000633211070356786        1.13733446134564        9846.01736508767       0.139944171883604       -4495.93563368282        96829.0636872858       -3168.16462330513         296.53873872036        297.701059289792        135.856726261349                       0                       0                       0                       0                       0                       0                       0        48.3189078006484   -0.000667865489254592    0.000139860668137218   1.83100000867853E-005    0.000931115685149341       0.135221579551176        9851.60807364577    -0.00367987080725669                       0                       0        195723.823068038        179640.658727023                       1                       1                       1 
                    7.9                    0.15    0.000634211403801267        1.13733446313382        9830.28029069209       0.139973960257562       -4495.93563124136        96829.0636872858       -3167.60308752582        296.538738262586        297.701550328416        135.735896274123                       0                       0                       0                       0                       0                       0                       0        48.3291928892193   -0.000668009465866854     0.00014013619026046   1.83100000867853E-005    0.000932490847788564       0.134979693072905        9835.86039354834    -0.00368280065647408                       0                       0         195933.82768366        179844.323203297                       1                       1                       1 
                    7.9                    0.15    0.000635211737245749        1.13733446492199         9814.5432162965       0.140003748631521        -4495.9356287999        96829.0636872858       -3167.04155174651        296.538737804812        297.702041367041        135.615066286898                       0                       0                       0                       0                       0                       0                       0        48.3394779777902   -0.000668153442479117    0.000140411712383701   1.83100000867853E-005    0.000933866010427787       0.134737806594634        9820.11271345091    -0.00368573050569148                       0                       0        196143.832299282        180047.987679572                       1                       1                       1 
                    7.9                    0.15     0.00063621207069023        1.13733446671017        9798.80614190092       0.140033537005479       -4495.93562635844        96829.0636872858        -3166.4800159672        296.538737347038        297.702532405665        135.494236299673                       0                       0                       0                       0                       0                       0                       0         48.349763066361   -0.000668297419091379    0.000140687234506942   1.83100000867853E-005     0.00093524117306701       0.134495920116363        9804.36503335347    -0.00368866035490887                       0                       0        196353.836914904        180251.652155846                       1                       1                       1 
                    7.9                    0.15    0.000637212404134712        1.13733446849835        9783.06906750534       0.140063325379438       -4495.93562391698        96829.0636872858       -3165.91848018789        296.538736889265         297.70302344429        135.373406312448                       0                       0                       0                       0                       0                       0                       0        48.3600481549319   -0.000668441395703642    0.000140962756630183   1.83100000867853E-005    0.000936616335706234       0.134254033638092        9788.61735325604    -0.00369159020412627                       0                       0        196563.841530526         180455.31663212                       1                       1                       1 
                    7.9                    0.15    0.000638212737579193        1.13733447028653        9767.33199310976       0.140093113753397       -4495.93562147552        96829.0636872858       -3165.35694440858        296.538736431491        297.703514482914        135.252576325222                       0                       0                       0                       0                       0                       0                       0        48.3703332435028   -0.000668585372315904    0.000141238278753425   1.83100000867853E-005    0.000937991498345457       0.134012147159821        9772.86967315861    -0.00369452005334367                       0                       0        196773.846146148        180658.981108394                       1                       1                       1 
                    7.9                    0.15    0.000639213071023675        1.13733447207471        9751.59491871417       0.140122902127355       -4495.93561903406        96829.0636872858       -3164.79540862928        296.538735973717        297.704005521539        135.131746337997                       0                       0                       0                       0                       0                       0                       0        48.3806183320736   -0.000668729348928167    0.000141513800876666   1.83100000867853E-005     0.00093936666098468       0.133770260681549        9757.12199306118    -0.00369744990256107                       0                       0         196983.85076177        180862.645584668                       1                       1                       1 
                    7.9                    0.15    0.000640213404468156        1.13733447386289        9735.85784431859       0.140152690501314        -4495.9356165926        96829.0636872858       -3164.23387284997        296.538735515943        297.704496560163        135.010916350772                       0                       0                       0                       0                       0                       0                       0        48.3909034206445   -0.000668873325540429    0.000141789322999907   1.83100000867853E-005    0.000940741823623903       0.133528374203278        9741.37431296375    -0.00370037975177846                       0                       0        197193.855377392        181066.310060943                       1                       1                       1 
                    7.9                    0.15    0.000641213737912638        1.13733447565107        9720.12076992301       0.140182478875272       -4495.93561415114        96829.0636872858       -3163.67233707066         296.53873505817        297.704987598787        134.890086363546                       0                       0                       0                       0                       0                       0                       0        48.4011885092154   -0.000669017302152692    0.000142064845123148   1.83100000867853E-005    0.000942116986263126       0.133286487725007        9725.62663286632    -0.00370330960099586                       0                       0        197403.859993014        181269.974537217                       1                       1                       1 
                    7.9                    0.15    0.000642214071357119        1.13733447743924        9704.38369552743       0.140212267249231       -4495.93561170968        96829.0636872858       -3163.11080129135        296.538734600396        297.705478637412        134.769256376321                       0                       0                       0                       0                       0                       0                       0        48.4114735977863   -0.000669161278764954     0.00014234036724639   1.83100000867853E-005    0.000943492148902349       0.133044601246736        9709.87895276889    -0.00370623945021326                       0                       0        197613.864608636        181473.639013491                       1                       1                       1 
                    7.9                    0.15    0.000643214404801601        1.13733447922742        9688.64662113185       0.140242055623189       -4495.93560926822        96829.0636872858       -3162.54926551204        296.538734142622        297.705969676036        134.648426389096                       0                       0                       0                       0                       0                       0                       0        48.4217586863571   -0.000669305255377217    0.000142615889369631   1.83100000867853E-005    0.000944867311541573       0.132802714768465        9694.13127267146    -0.00370916929943065                       0                       0        197823.869224258        181677.303489765                       1                       1                       1 
                    7.9                    0.15    0.000644214738246082         1.1373344810156        9672.90954673627       0.140271843997148       -4495.93560682676        96829.0636872858       -3161.98772973273        296.538733684849        297.706460714661         134.52759640187                       0                       0                       0                       0                       0                       0                       0         48.432043774928   -0.000669449231989479    0.000142891411492872   1.83100000867853E-005    0.000946242474180796       0.132560828290194        9678.38359257403    -0.00371209914864805                       0                       0         198033.87383988        181880.967966039                       1                       1                       1 
                    7.9                    0.15    0.000645215071690564        1.13733448280378        9657.17247234068       0.140301632371106        -4495.9356043853        96829.0636872858       -3161.42619395342        296.538733227075        297.706951753285        134.406766414645                       0                       0                       0                       0                       0                       0                       0        48.4423288634989   -0.000669593208601742    0.000143166933616113   1.83100000867853E-005    0.000947617636820019       0.132318941811923         9662.6359124766    -0.00371502899786544                       0                       0        198243.878455502        182084.632442314                       1                       1                       1 
                    7.9                    0.15    0.000646215405135045        1.13733448459196         9641.4353979451       0.140331420745065       -4495.93560194384        96829.0636872858       -3160.86465817411        296.538732769301        297.707442791909         134.28593642742                       0                       0                       0                       0                       0                       0                       0        48.4526139520698   -0.000669737185214004    0.000143442455739354   1.83100000867853E-005    0.000948992799459242       0.132077055333651        9646.88823237916    -0.00371795884708284                       0                       0        198453.883071124        182288.296918588                       1                       1                       1 
                    7.9                    0.15    0.000647215738579526        1.13733448638014        9625.69832354952       0.140361209119024       -4495.93559950238        96829.0636872858        -3160.3031223948        296.538732311527        297.707933830534        134.165106440194                       0                       0                       0                       0                       0                       0                       0        48.4628990406406   -0.000669881161826267    0.000143717977862596   1.83100000867853E-005    0.000950367962098465        0.13183516885538        9631.14055228173    -0.00372088869630024                       0                       0        198663.887686746        182491.961394862                       1                       1                       1 
                    7.9                    0.15    0.000648216072024008        1.13733448816832        9609.96124915394       0.140390997492982       -4495.93559706092        96829.0636872858       -3159.74158661549        296.538731853754        297.708424869158        134.044276452969                       0                       0                       0                       0                       0                       0                       0        48.4731841292115   -0.000670025138438529    0.000143993499985837   1.83100000867853E-005    0.000951743124737688       0.131593282377109         9615.3928721843    -0.00372381854551763                       0                       0        198873.892302368        182695.625871136                       1                       1                       1 
                    7.9                    0.15     0.00064921640546849         1.1373344899565        9594.22417475836       0.140420785866941       -4495.93559461946        96829.0636872858       -3159.18005083618         296.53873139598        297.708915907783        133.923446465744                       0                       0                       0                       0                       0                       0                       0        48.4834692177824   -0.000670169115050792    0.000144269022109078   1.83100000867853E-005    0.000953118287376911       0.131351395898838        9599.64519208687    -0.00372674839473503                       0                       0         199083.89691799         182899.29034741                       1                       1                       1 
                    7.9                    0.15    0.000650216738912971        1.13733449174467        9578.48710036277       0.140450574240899         -4495.935592178        96829.0636872858       -3158.61851505687        296.538730938206        297.709406946407        133.802616478518                       0                       0                       0                       0                       0                       0                       0        48.4937543063532   -0.000670313091663054    0.000144544544232319   1.83100000867853E-005    0.000954493450016134       0.131109509420567        9583.89751198944    -0.00372967824395243                       0                       0        199293.901533612        183102.954823685                       1                       1                       1 
                    7.9                    0.15    0.000651217072357452        1.13733449353285        9562.75002596719       0.140480362614858       -4495.93558973654        96829.0636872858       -3158.05697927756        296.538730480432        297.709897985031        133.681786491293                       0                       0                       0                       0                       0                       0                       0        48.5040393949241   -0.000670457068275317    0.000144820066355561   1.83100000867853E-005    0.000955868612655358       0.130867622942296        9568.14983189201    -0.00373260809316982                       0                       0        199503.906149234        183306.619299959                       1                       1                       1 
                    7.9                    0.15    0.000652217405801934        1.13733449532103        9547.01295157161       0.140510150988816       -4495.93558729508        96829.0636872858       -3157.49544349825        296.538730022659        297.710389023656        133.560956504068                       0                       0                       0                       0                       0                       0                       0         48.514324483495   -0.000670601044887579    0.000145095588478802   1.83100000867853E-005    0.000957243775294581       0.130625736464025        9552.40215179458    -0.00373553794238722                       0                       0        199713.910764857        183510.283776233                       1                       1                       1 
                    7.9                    0.15    0.000653217739246416         1.1373344973584        9533.81024003249       0.140537384429869       -4495.93558498055        96829.0636872858       -3156.97576778466        296.538729501092        297.710843271867        133.452158936247                       0                       0                       0                       0                       0                       0                       0        48.5237273945901    -0.00067073022023493    0.000145405265784051   1.83100000867853E-005    0.000958616874772979       0.130414524568968        9539.19079451618    -0.00373865733560255                       0                       0        199913.011528257        183703.373592777                       1                       1                       1 
                    7.9                    0.15    0.000654218072690897        1.13733449954479        9522.12350407766       0.140563089590998       -4495.93558274168        96829.0636872858       -3156.48113143602        296.538728941376        297.711275513218        133.350558780597                       0                       0                       0                       0                       0                       0                       0        48.5326026150676   -0.000670850541831903    0.000145735381388135   1.83100000867853E-005    0.000959988740134627       0.130221659746658        9527.49658522174    -0.00374189034831821                       0                       0         200105.58995263        183890.137982813                       1                       1                       1 
