VARIABLES = "X"
 "Y"
 "Z"
 "RHO"
 "U"
 "V"
 "W"
 "VelocityMagnitude"
 "Mach"
 "P"
 "P_tot"
 "Vislam"
 "SkinFrictionCoefficient"
 "T"
 "H0"
 "COND_TURB"
 "CP"
 "COND_eff"
 "D"
 "K"
 "VIS_T"
 "YPLUS"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
     0.0720360180090045                    0.15                       0        1.11251096769593                       0                       0                       0                       0                       0       -4471.20156122983       -3938.78458516368   1.83968434236061E-005      0.0223817378590037        299.514598913226        301611.212575038      0.0608289803901483                    1007      0.0871289800209603        8500473.89494747                       0   5.43655234565406E-005        6.83485817086285 
     0.0760380190095048                    0.15                       0        1.11249167833285                       0                       0                       0                       0                       0       -4472.29262018705       -3947.71613980819   1.83969273628239E-005      0.0221562537999675        299.516372963093        301612.991745873      0.0606051467549151                    1007      0.0869051475020096        8407234.55577788                       0   5.41654744979653E-005        6.80963511393033 
      0.080040020010005                    0.15                       0        1.11247238896977                       0                       0                       0                       0                       0       -4473.38367914426        -3956.6476944527   1.83970113020418E-005      0.0219307697409314         299.51814701296        301614.770916708      0.0603813131196818                    1007       0.086681314983059         8313995.2166083                       0     5.396542553939E-005        6.78441205699781 
     0.0840420210105053                    0.15                       0        1.11245592538567                       0                       0                       0                       0                       0       -4474.28011686507       -3963.97090891637   1.83970883210924E-005      0.0217433404866951          299.5197603074        301616.403764382      0.0601912492875936                    1007      0.0864912500868683        8236567.41195597                       0   5.37955570273308E-005        6.76302312862402 
     0.0880440220110055                    0.15                       0        1.11243952942706                       0                       0                       0                       0                       0       -4475.17189698365       -3971.25563318769   1.83971651745321E-005       0.021556821945736        299.521369754702        301618.033110305      0.0600019936217344                    1007      0.0863019933047266        8159518.00300149                       0   5.36264107823677E-005          6.741725957173 
     0.0920460230115058                    0.15                       0        1.11242313346844                       0                       0                       0                       0                       0       -4476.06367710222         -3978.540357459   1.83972420279719E-005       0.021370303404777        299.522979202003        301619.662456228      0.0598127379558753                    1007      0.0861127365225848        8082468.59404702                       0   5.34572645374046E-005        6.72042878572198 
      0.096048024012006                    0.15                       0        1.11240822210975                       0                       0                       0                       0                       0       -4476.86480471681        -3985.0738540657     1.839731330524E-005      0.0212018202548626         299.52447755555        301621.172054777      0.0596398585692622                    1007      0.0859398574471891        8012917.19084542                       0   5.33027543488966E-005        6.70098476042564 
      0.100050025012506                    0.15                       0        1.11239414801891                       0                       0                       0                       0                       0       -4477.61480715944       -3991.18368180672    1.8397381437722E-005      0.0210435085004198          299.5259132557         301622.61411956      0.0594762148910489                    1007      0.0857762148852584        7947594.42796398                       0   5.31564984376582E-005        6.68258585149852 
      0.104052026013007                    0.15                       0        1.11238007392807                       0                       0                       0                       0                       0       -4478.36480960207       -3997.29350954774   1.83974495702041E-005      0.0208851967459771         299.52734895585        301624.056184342      0.0593125712128357                    1007      0.0856125723233278        7882271.66508253                       0   5.30102425264199E-005         6.6641869425714 
      0.108054027013507                    0.15                       0        1.11236656111679                       0                       0                       0                       0                       0        -4479.0823165489         -4003.138001618   1.83975153968736E-005      0.0207333204799097        299.528740444441        301625.452976488      0.0591548840464533                    1007      0.0854548859359206        7819623.56428214                       0   5.28693104067974E-005         6.6464607487803 
