VARIABLES = "X"
 "Y"
 "Z"
 "RHO"
 "U"
 "V"
 "W"
 "VelocityMagnitude"
 "Mach"
 "P"
 "P_tot"
 "Vislam"
 "SkinFrictionCoefficient"
 "T"
 "H0"
 "COND_TURB"
 "CP"
 "COND_eff"
 "D"
 "K"
 "VIS_T"
 "YPLUS"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
     0.0400200100050025                    0.15                       0        1.11299126472635                       0                       0                       0                       0                       0       -4455.73035907602       -4018.64679715346   1.83930137220419E-005     0.00712250507347706        299.433815586382        301529.885708479     0.00803361897295776                    1007      0.0343336189997799        8077520.54652326                       0    7.1799972506435E-006        7.67275301702861 
     0.0440220110055028                    0.15                       0        1.11294769727927                       0                       0                       0                       0                       0       -4457.72093346478       -4031.64128646355   1.83932732278603E-005     0.00701608692760346        299.439292216909        301535.398933842     0.00796716004002535                    1007      0.0342671600668474        7983439.59454727                       0   7.12060001479267E-006        7.61445750565216 
      0.048024012006003                    0.15                       0         1.1129045105386                       0                       0                       0                       0                       0       -4459.70479673431       -4044.48935796023   1.83935288609329E-005      0.0069105585952247        299.444687523205        301540.830086918     0.00790023443388336                    1007      0.0342002344607055         7888681.3304152                       0   7.06078569122325E-006         7.5566095630785 
     0.0520260130065033                    0.15                       0        1.11286132379792                       0                       0                       0                       0                       0       -4461.68866000383       -4057.33742945692   1.83937844940055E-005     0.00680503026284594        299.450082829501        301546.261239995     0.00783330882774137                    1007      0.0341333088545635        7793923.06628314                       0   7.00097136765383E-006        7.49876162050484 
     0.0560280140070035                    0.15                       0        1.11282546315091                       0                       0                       0                       0                       0       -4463.38968898512         -4067.556066119   1.83939893791847E-005     0.00671899311893012        299.454406432953        301550.607162957      0.0077711132034965                    1007      0.0340711132303186         7706475.3024012                       0   6.94538437909804E-006        7.45097354413748 
     0.0600300150075038                    0.15                       0         1.1127935285387                       0                       0                       0                       0                       0       -4464.93914779655       -4076.36559539535   1.83941670686978E-005     0.00664340125293419        299.458155713599        301554.371513882     0.00771145236442213                    1007      0.0340114523912442        7622945.21685842                       0   6.89206280853675E-006        7.40857652427555 
      0.064032016008004                    0.15                       0        1.11276159392648                       0                       0                       0                       0                       0       -4466.48860660799       -4085.17512467171    1.8394344758211E-005     0.00656780938693825        299.461904994245        301558.135864807     0.00765179152534776                    1007      0.0339517915521698        7539415.13131565                       0   6.83874123797545E-006        7.36617950441361 
     0.0680340170085043                    0.15                       0         1.1127317670347                       0                       0                       0                       0                       0       -4467.93194106819       -4093.33504984914   1.83945111570685E-005     0.00649728020163939        299.465416057638        301561.665098174     0.00759505783731845                    1007      0.0338950579079346        7460238.90570285                       0   6.78803580640255E-006        7.32643901949945 
     0.0720360180090045                    0.15                       0        1.11270654797852                       0                       0                       0                       0                       0       -4469.14326963286       -4100.07482989542   1.83946528726312E-005     0.00643781889807721        299.468406337568        301564.680324537     0.00754472339971213                    1007      0.0338447236098636        7390580.95897948                       0   6.74304969995854E-006        7.29250617215727 
     0.0760380190095048                    0.15                       0        1.11268132892235                       0                       0                       0                       0                       0       -4470.35459819754       -4106.81460994169   1.83947945881938E-005     0.00637835759451503        299.471396617498          301567.6955509     0.00749438896210582                    1007      0.0337943893117926        7320923.01225612                       0   6.69806359351453E-006         7.2585733248151 
