VARIABLES = "X"
 "Y"
 "Z"
 "RHO"
 "U"
 "V"
 "W"
 "VelocityMagnitude"
 "Mach"
 "P"
 "P_tot"
 "Vislam"
 "SkinFrictionCoefficient"
 "T"
 "H0"
 "COND_TURB"
 "CP"
 "COND_eff"
 "Ywall"
 "VIS_T"
 "YPLUS"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                    7.9                    0.15   1.00033344448149E-005        1.11190346313759        4.03010637690906   4.21675163653849E-006   2.51804437814254E-006        4.03010637690906       0.011631971639406       -4500.42352294922       -4372.67024379831   1.84002563824975E-005     0.00194281688793153        299.577612082725        301729.130595485       0.004295690373523                    1007       0.030595690234754   3.02282207152407E-005   3.83924658414323E-006        3.56737076973621 
                    7.9                    0.15   1.10036678892964E-005        1.11191101279426        4.43311701459997   4.63842680019234E-006    2.7698488159568E-006        4.43311701459997      0.0127951688033466       -4500.42352294922       -4369.53500926701   1.84001599621089E-005     0.00189422600212522        299.574684471113        301731.629553471     0.00471166027593005                    1007      0.0310116601182372   3.07510428499201E-005   4.21101710082894E-006        3.47814918408071 
                    7.9                    0.15   1.20040013337779E-005        1.11191856245094        4.83612765229087   5.06010196384619E-006   3.02165325377105E-006        4.83612765229087      0.0139583659672872       -4500.42352294922       -4366.39977473571   1.84000635417202E-005     0.00184563511631891          299.5717568595        301734.128511457     0.00512763017833709                    1007      0.0314276300017205   3.12738649845994E-005   4.58278761751465E-006         3.3889275984252 
                    7.9                    0.15   1.30043347782594E-005        1.11192611210761        5.23913828998178   5.48177712750004E-006    3.2734576915853E-006        5.23913828998178      0.0151215631312278       -4500.42352294922       -4363.26454020441   1.83999671213316E-005      0.0017970442305126        299.568829247887        301736.627469443     0.00554360008074414                    1007      0.0318435998852037   3.17966871192788E-005   4.95455813420035E-006        3.29970601276969 
                    7.9                    0.15   1.40046682227409E-005        1.11193366176429        5.64214892767269   5.90345229115389E-006   3.52526212939956E-006        5.64214892767269      0.0162847602951684       -4500.42352294922       -4360.12930567311    1.8399870700943E-005      0.0017484533447063        299.565901636274        301739.126427429     0.00595956998315119                    1007       0.032259569768687   3.23195092539582E-005   5.32632865088606E-006        3.21048442711419 
                    7.9                    0.15   1.50050016672224E-005        1.11194121142096        6.04515956536359   6.32512745480774E-006   3.77706656721381E-006        6.04515956536359       0.017447957459109       -4500.42352294922       -4356.99407114181   1.83997742805544E-005     0.00169986245889999        299.562974024662        301741.625385415     0.00637553988555823                    1007      0.0326755396521702   3.28423313886376E-005   5.69809916757177E-006        3.12126284145868 
                    7.9                    0.15   1.60053351117039E-005        1.11194876107763         6.4481702030545   6.74680261846159E-006   4.02887100502807E-006         6.4481702030545      0.0186111546230496       -4500.42352294922       -4353.85883661051   1.83996778601657E-005     0.00165127157309368        299.560046413049        301744.124343401     0.00679150978796528                    1007      0.0330915095356535    3.3365153523317E-005   6.06986968425748E-006        3.03204125580317 
                    7.9                    0.15   1.70056685561854E-005        1.11195631073431        6.85118084074541   7.16847778211544E-006   4.28067544284232E-006        6.85118084074541      0.0197743517869902       -4500.42352294922        -4350.7236020792   1.83995814397771E-005     0.00160268068728738        299.557118801436        301746.623301387     0.00720747969037233                    1007      0.0335074794191367   3.38879756579963E-005   6.44164020094319E-006        2.94281967014767 
                    7.9                    0.15   1.80060020006669E-005        1.11196386039098        7.25419147843631   7.59015294576929E-006   4.53247988065657E-006        7.25419147843631      0.0209375489509308       -4500.42352294922        -4347.5883675479   1.83994850193885E-005     0.00155408980148107        299.554191189823        301749.122259373     0.00762344959277938                    1007        0.03392344930262   3.44107977926757E-005   6.81341071762889E-006        2.85359808449216 
                    7.9                    0.15   1.90063354451484E-005        1.11197141004765        7.65720211612722   8.01182810942314E-006   4.78428431847083E-006        7.65720211612722      0.0221007461148715       -4500.42352294922        -4344.4531330166   1.83993885989999E-005     0.00150549891567476        299.551263578211        301751.621217359     0.00803941949518642                    1007      0.0343394191861032   3.49336199273551E-005    7.1851812343146E-006        2.76437649883665 
                    7.9                    0.15   2.00066688896299E-005        1.11197895970433        8.06021275381812   8.43350327307699E-006   5.03608875628508E-006        8.06021275381812      0.0232639432788121       -4500.42352294922        -4341.3178984853   1.83992921786112E-005     0.00145690802986845        299.548335966598        301754.120175345     0.00845538939759347                    1007      0.0347553890695865   3.54564420620345E-005   7.55695175100031E-006        2.67515491318115 
                    7.9                    0.15   2.10070023341114E-005          1.111986509361        8.46322339150903   8.85517843673084E-006   5.28789319409934E-006        8.46322339150903      0.0244271404427527       -4500.42352294922         -4338.182663954   1.83991957582226E-005     0.00140831714406215        299.545408354985        301756.619133331     0.00887135930000052                    1007      0.0351713589530697   3.59792641967139E-005   7.92872226768602E-006        2.58593332752564 
                    7.9                    0.15   2.20073357785929E-005        1.11199405901768        8.86623402919994   9.27685360038469E-006   5.53969763191359E-006        8.86623402919994      0.0255903376066933       -4500.42352294922        -4335.0474294227    1.8399099337834E-005     0.00135972625825584        299.542480743373        301759.118091317     0.00928732920240757                    1007       0.035587328836553   3.65020863313933E-005   8.30049278437172E-006        2.49671174187013 
                    7.9                    0.15   2.30076692230744E-005        1.11200160867435        9.26924466689084   9.69852876403854E-006   5.79150206972785E-006        9.26924466689084      0.0267535347706339       -4500.42352294922        -4331.9121948914   1.83990029174454E-005     0.00131113537244953         299.53955313176        301761.617049303     0.00970329910481461                    1007      0.0360032987200362   3.70249084660726E-005   8.67226330105743E-006        2.40749015621463 
                    7.9                    0.15   2.40080026675559E-005        1.11200915833102        9.67225530458175   1.01202039276924E-005    6.0433065075421E-006        9.67225530458175      0.0279167319345745       -4500.42352294922       -4328.77696036009   1.83989064970567E-005     0.00126254448664323        299.536625520147        301764.116007289      0.0101192690072217                    1007      0.0364192686035195    3.7547730600752E-005   9.04403381774314E-006        2.31826857055912 
                    7.9                    0.15   2.50083361120373E-005         1.1120167072327          10.07524133546   1.05430587026612E-005   6.29528478693636E-006          10.07524133546      0.0290798580345656       -4500.42352294922        -4325.6419423011   1.83988100881884E-005     0.00121395800694335        299.533698295092         301766.61456944      0.0105351707287076                    1007      0.0368351702896767   3.80705527354314E-005   9.41574338835305E-006        2.22905096825777 
                    7.9                    0.15   2.60086695565188E-005        1.11202425615425         10.478228014099   1.09658824250124E-005   6.54725849004685E-006         10.478228014099      0.0302429860052759       -4500.42352294922       -4322.50691854359   1.83987136790169E-005     0.00116537141125515        299.530771059861        301769.113142011      0.0109510742450187                    1007      0.0372510737710909   3.85933748701108E-005   9.78745456333482E-006        2.13983326109682 
                    7.9                    0.15   2.70090030010003E-005        1.11203180581093        10.8812386517899   1.13875575886662E-005    6.7990629278611E-006        10.8812386517899      0.0314061831692165       -4500.42352294922       -4319.37168401228   1.83986172586282E-005     0.00111678052544885        299.527843448248        301771.612099997      0.0113670441474257                    1007      0.0376670436545741   3.91161970047902E-005   1.01592250800205E-005        2.05061167544131 
                    7.9                    0.15   2.80093364454818E-005         1.1120393554676        11.2842492894808   1.18092327523201E-005   7.05086736567536E-006        11.2842492894808      0.0325693803331571       -4500.42352294922       -4316.23644948098   1.83985208382396E-005     0.00106818963964254        299.524915836636        301774.111057983      0.0117830140498328                    1007      0.0380830135380574   3.96390191394695E-005   1.05309955967062E-005        1.96139008978581 
                    7.9                    0.15   2.90096698899633E-005        1.11204690512427        11.6872599271717   1.22309079159739E-005   7.30267180348961E-006        11.6872599271717      0.0337325774970978       -4500.42352294922       -4313.10121494968    1.8398424417851E-005     0.00101959875383623        299.521988225023        301776.610015969      0.0121989839522398                    1007      0.0384989834215406   4.01618412741489E-005   1.09027661133919E-005         1.8721685041303 
                    7.9                    0.15   3.00100033344448E-005        1.11205445478095        12.0902705648626   1.26525830796278E-005   7.55447624130387E-006        12.0902705648626      0.0348957746610383       -4500.42352294922       -4309.96598041838   1.83983279974624E-005    0.000971007868029924         299.51906061341        301779.108973955      0.0126149538546469                    1007      0.0389149533050239   4.06846634088283E-005   1.12745366300777E-005         1.7829469184748 
                    7.9                    0.15   3.10103367789263E-005        1.11206200443762        12.4932812025535   1.30742582432816E-005   7.80628067911812E-006        12.4932812025535      0.0360589718249789       -4500.42352294922       -4306.83074588708   1.83982315770738E-005    0.000922416982223616        299.516133001798        301781.607931941      0.0130309237570539                    1007      0.0393309231885071   4.12074855435077E-005   1.16463071467634E-005        1.69372533281929 
                    7.9                    0.15   3.20106702234078E-005         1.1120695540943        12.8962918402444   1.34959334069355E-005   8.05808511693237E-006        12.8962918402444      0.0372221689889196       -4500.42352294922       -4303.69551135578   1.83981351566851E-005     0.00087382609641731        299.513205390185        301784.106889927       0.013446893659461                    1007      0.0397468930719904   4.17303076781871E-005   1.20180776634491E-005        1.60450374716378 
                    7.9                    0.15   3.30110036678893E-005        1.11207710375097        13.2993024779353   1.39176085705893E-005   8.30988955474663E-006        13.2993024779353      0.0383853661528602       -4500.42352294922       -4300.56027682448   1.83980387362965E-005    0.000825235210611002        299.510277778572        301786.605847913       0.013862863561868                    1007      0.0401628629554736   4.22531298128664E-005   1.23898481801348E-005        1.51528216150828 
                    7.9                    0.15   3.40113371123708E-005        1.11208465340764        13.7023131156263   1.43392837342432E-005   8.56169399256088E-006        13.7023131156263      0.0395485633168008       -4500.42352294922       -4297.42504229317   1.83979423159079E-005    0.000776644324804695        299.507350166959        301789.104805899      0.0142788334642751                    1007      0.0405788328389569   4.27759519475458E-005   1.27616186968205E-005        1.42606057585277 
                    7.9                    0.15   3.50116705568523E-005        1.11209220306432        14.1053237533172    1.4760958897897E-005   8.81349843037513E-006        14.1053237533172      0.0407117604807413       -4500.42352294922       -4294.28980776187   1.83978458955193E-005    0.000728053438998388        299.504422555347        301791.603763885      0.0146948033666821                    1007      0.0409948027224401   4.32987740822252E-005   1.31333892135062E-005        1.33683899019726 
                    7.9                    0.15   3.60120040013338E-005        1.11209975272099        14.5083343910081   1.51826340615509E-005   9.06530286818939E-006        14.5083343910081       0.041874957644682       -4500.42352294922       -4291.15457323057   1.83977494751306E-005    0.000679462553192081        299.501494943734        301794.102721871      0.0151107732690891                    1007      0.0414107726059234   4.38215962169046E-005   1.35051597301919E-005        1.24761740454176 
