VARIABLES = "X"
 "Y"
 "Z"
 "RHO"
 "U"
 "V"
 "W"
 "VelocityMagnitude"
 "Mach"
 "P"
 "P_tot"
 "Vislam"
 "SkinFrictionCoefficient"
 "T"
 "H0"
 "COND_TURB"
 "CP"
 "COND_eff"
 "D"
 "K"
 "VIS_T"
 "YPLUS"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                    7.9                    0.15   2.00066688896299E-005        1.11237379564876        2.80282197693357   1.34602348162584E-009   1.88159047884522E-006        2.80282197693357     0.00809136853888869       -4495.36514892578       -4166.76025396324   1.83950010916361E-005     0.00311404105889435        299.467124295465        301612.265734542      0.0785822513421424                    1007       0.104882251136072        444018.739510958         3.3688046289063   7.02323993681843E-005        19.2399239210999 
                    7.9                    0.15   2.10070023341114E-005        1.11237573881185        2.94296307578025   1.41332465570713E-009   1.97567000278748E-006        2.94296307578025     0.00849593696583313       -4495.36514892578       -4166.09925176882   1.83949762905435E-005     0.00309673439692009        299.466169463638         301613.74700955       0.080272076569633                    1007       0.106572076354246        443654.529435725        3.53724486035161   7.17426701540014E-005        19.1329958272131 
                    7.9                    0.15   2.20073357785929E-005        1.11237768197495        3.08310417462693   1.48062582978842E-009   2.06974952672974E-006        3.08310417462693     0.00890050539277756       -4495.36514892578       -4165.43824957441   1.83949514894509E-005     0.00307942773494583        299.465214631811        301615.228284559      0.0819619017971235                    1007        0.10826190157242        443290.319360492        3.70568509179693   7.32529409398185E-005        19.0260677333264 
                    7.9                    0.15   2.30076692230744E-005        1.11237962513804         3.2232452734736   1.54792700386972E-009     2.163829050672E-006         3.2232452734736     0.00930507381972199       -4495.36514892578       -4164.77724737999   1.83949266883583E-005     0.00306212107297157        299.464259799984        301616.709559567      0.0836517270246141                    1007       0.109951726790594        442926.109285258        3.87412532324224   7.47632117256356E-005        18.9191396394396 
                    7.9                    0.15   2.40080026675559E-005        1.11238156830114        3.36338637232028   1.61522817795101E-009   2.25790857461426E-006        3.36338637232028     0.00970964224666643       -4495.36514892578       -4164.11624518557   1.83949018872657E-005     0.00304481441099731        299.463304968157        301618.190834575      0.0853415522521047                    1007       0.111641552008769        442561.899210025        4.04256555468756   7.62734825114528E-005        18.8122115455528 
                    7.9                    0.15   2.50083361120373E-005        1.11238351146423        3.50352747116696    1.6825293520323E-009   2.35198809855652E-006        3.50352747116696      0.0101142106736109       -4495.36514892578       -4163.45524299116   1.83948770861731E-005     0.00302750774902305         299.46235013633        301619.672109583      0.0870313774795952                    1007       0.113331377226943        442197.689134792        4.21100578613287   7.77837532972699E-005         18.705283451666 
                    7.9                    0.15   2.60086695565188E-005        1.11238545462733        3.64366857001364   1.74983052611359E-009   2.44606762249878E-006        3.64366857001364      0.0105187791005553       -4495.36514892578       -4162.79424079674   1.83948522850805E-005     0.00301020108704879        299.461395304503        301621.153384592      0.0887212027070858                    1007       0.115021202445117        441833.479059559        4.37944601757819    7.9294024083087E-005        18.5983553577792 
                    7.9                    0.15   2.70090030010003E-005        1.11238739779042        3.78380966886032   1.81713170019488E-009   2.54014714644105E-006        3.78380966886032      0.0109233475274997       -4495.36514892578       -4162.13323860232   1.83948274839879E-005     0.00299289442507453        299.460440472676          301622.6346596      0.0904110279345763                    1007       0.116711027663291        441469.268984325         4.5478862490235   8.08042948689041E-005        18.4914272638924 
                    7.9                    0.15   2.80093364454818E-005        1.11238934095351          3.923950767707   1.88443287427618E-009   2.63422667038331E-006          3.923950767707      0.0113279159544442       -4495.36514892578       -4161.47223640791   1.83948026828953E-005     0.00297558776310027        299.459485640849        301624.115934609      0.0921008531620669                    1007       0.118400852881466        441105.058909092        4.71632648046882   8.23145656547213E-005        18.3844991700056 
                    7.9                    0.15   2.90096698899633E-005        1.11239128411661        4.06409186655367   1.95173404835747E-009   2.72830619432557E-006        4.06409186655367      0.0117324843813886       -4495.36514892578       -4160.81123421349   1.83947778818027E-005     0.00295828110112601        299.458530809022        301625.597209617      0.0937906783895574                    1007        0.12009067809964        440740.848833858        4.88476671191413   8.38248364405384E-005        18.2775710761188 
