VARIABLES = "X"
 "Y"
 "Z"
 "RHO"
 "U"
 "V"
 "W"
 "VelocityMagnitude"
 "Mach"
 "P"
 "P_tot"
 "Vislam"
 "SkinFrictionCoefficient"
 "T"
 "H0"
 "COND_TURB"
 "CP"
 "COND_eff"
 "D"
 "K"
 "VIS_T"
 "YPLUS"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                    7.9                    0.15     0.00863909272848565        1.11890484344843        66.4935279892185  -1.88950802872585E-008     0.00269562735600355        66.4935279892185       0.192491967113287       -4496.97976841177       -2000.20194423739   1.83117331951515E-005                       0        297.721397932673        302017.628394635        11.4897031057506                    1007        11.5160030487412        6387.29127353026        25.4435360898972      0.0102688507667888                       0 
                    7.9                    0.15     0.00887258172114743        1.11894922407103        66.6907667775799  -1.88753225176723E-008     0.00278372343531378        66.6907667775799       0.193066769366731       -4496.97949292012       -1985.15231541855   1.83111716600595E-005                       0        297.709604470031        302018.852280382        11.7596869314125                    1007        11.7859870941092        6212.74168107744         25.393962938744      0.0105101472417954                       0 
                    7.9                    0.15      0.0091060707138092        1.11899360469363        66.8880074467846   -1.8852933507559E-008      0.0028718399376579        66.8880074467846       0.193641577042994       -4496.97921169637       -1970.10248597642   1.83106101249674E-005                       0        297.697810649134         302020.07616613        12.0296655735598                    1007        12.0559659559625        6038.19043204946        25.3443860482951      0.0107514390921001                       0 
                    7.9                    0.15     0.00933955970647098        1.11903489647683        67.0696336900057  -1.88145837993892E-008     0.00296226165982988        67.0696336900057       0.194170987714594       -4496.97895023126       -1956.09974157285     1.831008759565E-005                       0        297.686837950027        302021.214062297         12.291537506822                    1007        12.3178379371199         5892.0610082783        25.2946093159199       0.010985485490196                       0 
                    7.9                    0.15     0.00957304869913276        1.11907532719537        67.2469071558753  -1.87717847848479E-008     0.00305332599983922        67.2469071558753       0.194687743226541       -4496.97869427419       -1942.38888929812    1.8309575939832E-005                       0        297.676094152088        302022.327987458        12.5511495620158                    1007        12.5774499923137        5753.85463447393          25.24477687433      0.0112175120996485                       0 
                    7.9                    0.15     0.00980653769179453         1.1191157564238        67.4241786190288  -1.87312121671513E-008     0.00314436559868229        67.4241786190288       0.195204492591758       -4496.97843221361       -1928.67826590524   1.83090643067514E-005                       0        297.665350354148        302023.441912619        12.8107684836647                    1007        12.8370689139626        5615.64984758363        25.1949489150093      0.0114495448441884                       0 
                    7.9                    0.15      0.0100400266844563        1.11915618714234        67.6014520848983    -1.868841315261E-008     0.00323542993869163        67.6014520848983       0.195721248103705       -4496.97817625654       -1914.96741363051   1.83085526509333E-005                       0        297.654606556209         302024.55583778        13.0703805388585                    1007        13.0966809691564        5477.44347377926        25.1451164734193      0.0116815714536409                       0 
                    7.9                    0.15      0.0102735156771181         1.1191965732596        67.7785023170149  -1.86454622760977E-008     0.00332653472172593        67.7785023170149       0.196237354471828       -4496.97792059385       -1901.27170838989   1.83080415635196E-005                       0        297.643874666176         302025.66840527        13.3298493707769                    1007        13.3561497999068        5339.59835988018        25.0952797729699      0.0119134700592952                       0 
                    7.9                    0.15      0.0105070046697799         1.1192335282664        67.9383795067966  -1.85908288828383E-008     0.00342075072683347        67.9383795067966       0.196703523166083       -4496.97768757706       -1888.74124207243   1.83075742026036E-005                       0         297.63405883383        302026.676529117        13.5783002480219                    1007        13.6046005861296        5229.54443600072        25.0451154447588      0.0121355215221402                       0 
                    7.9                    0.15      0.0107404936624416        1.11927048327319        68.0982566965783  -1.85361954895789E-008     0.00351496673194101        68.0982566965783       0.197169691860338       -4496.97745456027       -1876.21077575498   1.83071068416876E-005                       0        297.624243001484        302027.684652964        13.8267511252669                    1007        13.8530513723524        5119.49051212127        24.9949511165478      0.0123575729849852                       0 
                    7.9                    0.15      0.0109739826551034        1.11930743827998        68.2581315975416   -1.8483248769343E-008       0.003609154506333        68.2581315975416       0.197635854035335       -4496.97722764699       -1863.68055205227   1.83066394807717E-005                       0        297.614427169138        302028.692776811        14.0752104663715                    1007        14.1015106343557        5009.43804087854        24.9447918666525      0.0125796320148261                       0 
                    7.9                    0.15      0.0112074716477652        1.11934439328678        68.4180087873233  -1.84286153760835E-008     0.00370337051144054        68.4180087873233        0.19810202272959        -4496.9769946302       -1851.15008573481   1.83061721198557E-005                       0        297.604611336792        302029.700900659        14.3236613436165                    1007        14.3499614205785        4899.38411699909        24.8946275384415      0.0128016834776711                       0 
                    7.9                    0.15       0.011440960640427        1.11938134829357         68.577885977105   -1.8373981982824E-008     0.00379758651654808         68.577885977105       0.198568191423845       -4496.97676161341       -1838.61961941735   1.83057047589397E-005                       0        297.594795504445        302030.709024506        14.5721122208615                    1007        14.5984122068013        4789.33019311964        24.8444632102305      0.0130237349405161                       0 
                    7.9                    0.15      0.0116744496330887        1.11941591499774        68.7259802842932  -1.83173189246763E-008      0.0038944194143924        68.7259802842932       0.199000087894563       -4496.97647901135       -1826.89776145243    1.8305267529502E-005                       0        297.585613609247        302031.647401093        14.8112853904975                    1007        14.8375853558791        4696.27544063984        24.7939844533862      0.0132374944573072                       0 
                    7.9                    0.15      0.0119079386257505        1.11944978490266        68.8706368764869  -1.82600637016346E-008     0.00399201580379569        68.8706368764869       0.199421985272461       -4496.97618194255       -1815.41181902313    1.8304839091074E-005                       0        297.576616668385        302032.565428568        15.0477517424843                    1007        15.0740517078659        4608.18028153232        24.7434139604138      0.0134488347573184                       0 
                    7.9                    0.15      0.0121414276184123        1.11948365480758        69.0152934686805   -1.8202808478593E-008     0.00408961219319899        69.0152934686805       0.199843882650359       -4496.97588487375       -1803.92587659383    1.8304410652646E-005                       0        297.567619727523        302033.483456043        15.2842180944711                    1007        15.3105180598527        4520.08512242479        24.6928434674415      0.0136601750573297                       0 
                    7.9                    0.15       0.012374916611074        1.11951752322238        69.1599477720558  -1.81467596238898E-008     0.00418717626570895        69.1599477720558       0.200265772950206       -4496.97558170143       -1792.44019508983    1.8303982214218E-005                       0        297.558622786661        302034.401483518        15.5206948534288                    1007        15.5469947949686        4431.99130609071        24.6422787203568      0.0138715246472836                       0 
                    7.9                    0.15      0.0126084056037358         1.1195513931273        69.3046043642495  -1.80895044008481E-008     0.00428477265511225        69.3046043642495       0.200687670328104       -4496.97528463263       -1780.95425266053     1.830355377579E-005                       0        297.549625845799        302035.319510993        15.7571612054156                    1007        15.7834611469554        4343.89614698318        24.5917082273845      0.0140828649472949                       0 
                    7.9                    0.15      0.0128418945963976        1.11958520533776        69.4489758388426  -1.80323441338876E-008     0.00438244649775203        69.4489758388426       0.201108738400873       -4496.97498812809       -1769.48808313454   1.83031260744055E-005                       0        297.540644397408        302036.235741998        15.9933538169394                    1007        16.0196537600886        4256.16837647505        24.5411275185525      0.0142939605946406                       0 
                    7.9                    0.15      0.0130753835890594        1.11961636876013        69.5802573899181   -1.7979543358728E-008     0.00448367626587687        69.5802573899181       0.201491732567657       -4496.97471752917       -1758.92969969924   1.83027322111402E-005                       0          297.5323742178        302037.069495939        16.2169788362891                    1007        16.2432788549403        4185.30764139124        24.4900777933531      0.0144938240883916                       0 
                    7.9                    0.15      0.0133088725817212        1.11964753218251        69.7115389409935  -1.79267425835684E-008     0.00458490603400171        69.7115389409935       0.201874726734442       -4496.97444693024       -1748.37131626394    1.8302338347875E-005                       0        297.524104038193         302037.90324988        16.4406038556388                    1007         16.466903949792        4114.44690630744        24.4390280681538      0.0146936875821426                       0 
                    7.9                    0.15      0.0135423615743829        1.11967869560488        69.8428204920689  -1.78739418084088E-008     0.00468613580212654        69.8428204920689       0.202257720901226       -4496.97417633132       -1737.81293282865   1.83019444846097E-005                       0        297.515833858585        302038.737003821        16.6642288749886                    1007        16.6905290446436        4043.58617122364        24.3879783429544      0.0148935510758936                       0 
                    7.9                    0.15      0.0137758505670447        1.11970985902725        69.9740993728563  -1.78219744554692E-008     0.00478732843958449        69.9740993728563       0.202640707431166       -4496.97391183591       -1727.25483015507   1.83015506440818E-005                       0        297.507564060448        302039.570367137        16.8878665424439                    1007        16.9141667995218        3972.72669346406        24.3369351265823      0.0150934258852139                       0 
                    7.9                    0.15      0.0140093395597065        1.11974102244962        70.1053809239317  -1.77691736803095E-008     0.00488855820770932        70.1053809239317        0.20302370159795       -4496.97364123699       -1716.69644671977   1.83011567808166E-005                       0         297.49929388084        302040.404121079        17.1114915617937                    1007        17.1377918943735        3901.86595838026        24.2858854013829       0.015293289378965                       0 
                    7.9                    0.15      0.0142428285523682        1.11977218587199        70.2366624750071  -1.77163729051498E-008     0.00498978797583417        70.2366624750071       0.203406695764735       -4496.97337063806       -1706.13806328448   1.83007629175513E-005                       0        297.491023701233         302041.23787502        17.3351165811434                    1007        17.3614169892252        3831.00522329646        24.2348356761836       0.015493152872716                       0 
                    7.9                    0.15        0.01447631754503         1.1198016329422        70.3596212707425  -1.76697804263258E-008     0.00509378026785217        70.3596212707425       0.203765476271065       -4496.97309213826       -1696.16266342142   1.83003907747171E-005                       0        297.483206568147        302042.020967511        17.5490556559486                    1007        17.5753560862465          3769.741941823        24.1833945394349      0.0156843596161573                       0 
