VARIABLES = "X"
 "Y"
 "Z"
 "RHO"
 "U"
 "V"
 "W"
 "VelocityMagnitude"
 "Mach"
 "P"
 "P_tot"
 "Vislam"
 "SkinFrictionCoefficient"
 "T"
 "H0"
 "COND_TURB"
 "CP"
 "COND_eff"
 "Ywall"
 "VIS_T"
 "YPLUS"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                    7.9                    0.15   1.50050016672224E-005        1.11346737656267        3.29984696398663   8.09354117570203E-010   4.09474672828385E-006        3.29984696398663     0.00953290197860187       -4497.50758056641       -3564.38596955923   1.83807298972849E-005     0.00743802536253202        299.163670742293         301342.16149641      0.0819242713586889                    1007       0.108224268963886    0.000107880989720982   7.32193080800858E-005        14.5041281686868 
                    7.9                    0.15   1.60053351117039E-005        1.11347167459616        3.51983676158574    8.6331105874155E-010   4.36772984350277E-006        3.51983676158574      0.0101684287771753       -4497.50758056641        -3563.5439927333   1.83806751592902E-005     0.00739780521427432        299.161765734121        301345.867028463      0.0828136766973134                    1007       0.109113674265245    0.000108406389204128   7.40142085904931E-005        14.4256992071624 
                    7.9                    0.15   1.70056685561854E-005        1.11347597262966        3.73982655918485   9.17267999912897E-010    4.6407129587217E-006        3.73982655918485      0.0108039555757488       -4497.50758056641       -3562.70201590737   1.83806204212954E-005     0.00735758506601662         299.15986072595        301349.572560515      0.0837030820359378                    1007       0.110003079566604    0.000108931788687275   7.48091091009003E-005         14.347270245638 
                    7.9                    0.15   1.80060020006669E-005        1.11348027066316        3.95981635678396   9.71224941084244E-010   4.91369607394062E-006        3.95981635678396      0.0114394823743222       -4497.50758056641       -3561.86003908143   1.83805656833007E-005     0.00731736491775891        299.157955717778        301353.278092567      0.0845924873745623                    1007       0.110892484867963    0.000109457188170421   7.56040096113076E-005        14.2688412841136 
                    7.9                    0.15   1.90063354451484E-005        1.11348456869665        4.17980615438307   1.02518188225559E-009   5.18667918915954E-006        4.17980615438307      0.0120750091728957       -4497.50758056641        -3561.0180622555    1.8380510945306E-005     0.00727714476950121        299.156050709606         301356.98362462      0.0854818927131868                    1007       0.111781890169323    0.000109982587653567   7.63989101217148E-005        14.1904123225892 
                    7.9                    0.15   2.00066688896299E-005        1.11348886673015        4.39979595198218   1.07913882342694E-009   5.45966230437846E-006        4.39979595198218      0.0127105359714692       -4497.50758056641       -3560.17608542956   1.83804562073112E-005     0.00723692462124351        299.154145701435        301360.689156672      0.0863712980518112                    1007       0.112671295470682    0.000110507987136713    7.7193810632122E-005        14.1119833610648 
                    7.9                    0.15   2.10070023341114E-005        1.11349316476364        4.61978574958129   1.13309576459828E-009   5.73264541959739E-006        4.61978574958129      0.0133460627700426       -4497.50758056641       -3559.33410860363   1.83804014693165E-005     0.00719670447298581        299.152240693263        301364.394688724      0.0872607033904357                    1007       0.113560700772041     0.00011103338661986   7.79887111425293E-005        14.0335543995404 
                    7.9                    0.15   2.20073357785929E-005        1.11349746279714         4.8397755471804   1.18705270576963E-009   6.00562853481631E-006         4.8397755471804      0.0139815895686161       -4497.50758056641        -3558.4921317777   1.83803467313218E-005     0.00715648432472811        299.150335685092        301368.100220777      0.0881501087290602                    1007         0.1144501060734    0.000111558786103006   7.87836116529366E-005         13.955125438016 
                    7.9                    0.15   2.30076692230744E-005        1.11350176083064        5.05976534477951   1.24100964694098E-009   6.27861165003523E-006        5.05976534477951      0.0146171163671895       -4497.50758056641       -3557.65015495176    1.8380291993327E-005     0.00711626417647041         299.14843067692        301371.805752829      0.0890395140676846                    1007       0.115339511374759    0.000112084185586152   7.95785121633438E-005        13.8766964764916 
                    7.9                    0.15   2.40080026675559E-005        1.11350605886413        5.27975514237862   1.29496658811233E-009   6.55159476525416E-006        5.27975514237862       0.015252643165763       -4497.50758056641       -3556.80817812583   1.83802372553323E-005     0.00707604402821271        299.146525668748        301375.511284881      0.0899289194063091                    1007       0.116228916676118    0.000112609585069299    8.0373412673751E-005        13.7982675149672 
                    7.9                    0.15   2.50083361120373E-005        1.11351035689763        5.49974493997772   1.34892352928367E-009   6.82457788047308E-006        5.49974493997772      0.0158881699643364       -4497.50758056641       -3555.96620129989   1.83801825173376E-005     0.00703582387995501        299.144620660576        301379.216816934      0.0908183247449336                    1007       0.117118321977477    0.000113134984552445   8.11683131841583E-005        13.7198385534428 
                    7.9                    0.15   2.60086695565188E-005        1.11351465493113        5.71973473757683   1.40288047045502E-009     7.097560995692E-006        5.71973473757683      0.0165236967629099       -4497.50758056641       -3555.12422447396   1.83801277793429E-005     0.00699560373169731        299.142715652405        301382.922348986      0.0917077300835581                    1007       0.118007727278837    0.000113660384035591   8.19632136945655E-005        13.6414095919184 
                    7.9                    0.15   2.70090030010003E-005        1.11351895296462        5.93972453517594   1.45683741162637E-009   7.37054411091092E-006        5.93972453517594      0.0171592235614834       -4497.50758056641       -3554.28224764803   1.83800730413481E-005     0.00695538358343961        299.140810644233        301386.627881038      0.0925971354221825                    1007       0.118897132580196    0.000114185783518737   8.27581142049727E-005         13.562980630394 
