VARIABLES = "X"
 "Y"
 "Z"
 "RHO"
 "U"
 "V"
 "W"
 "VelocityMagnitude"
 "Mach"
 "P"
 "P_tot"
 "Vislam"
 "SkinFrictionCoefficient"
 "T"
 "H0"
 "COND_TURB"
 "CP"
 "COND_eff"
 "Ywall"
 "VIS_T"
 "YPLUS"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                    7.9                    0.15     0.00233488992661774        1.11939379925863        68.4255683038761    6.7783519203187E-008    0.000842362359812767        68.4255683038761       0.198130001510532       -4498.60268539971       -1851.83526079165    1.8305305640005E-005                       0        297.582215763381        302012.067610062        2.26976686867055                    1007        2.29606698451797     0.00234611882291886     0.00202859005822492                       0 
                    7.9                    0.15     0.00256837891927952        1.11950012047682        68.8764178229541   6.75899774781517E-008    0.000932678669550302        68.8764178229541       0.199444991239349       -4498.60251286664       -1816.16030327005   1.83039609688198E-005                       0        297.554576982162        302014.628213944        2.47592212607069                    1007        2.50222216657822     0.00257988674095996     0.00221284004755499                       0 
                    7.9                    0.15     0.00280186791194129        1.11960644362013        69.3272704222325   6.73851293303491E-008     0.00102304404366308        69.3272704222325       0.200759989631229       -4498.60234033357       -1780.48495739676   1.83026162682595E-005                       0        297.526937708111        302017.188313165        2.68207445728038                    1007        2.70837442629826     0.00281365465900105     0.00239708742179786                       0 
                    7.9                    0.15     0.00303535690460307        1.11970004616639        69.7210452209923    6.7098854988398E-008     0.00111560671426999        69.7210452209923        0.20190873382052       -4498.60217511567       -1748.98898964052   1.83014329115207E-005                       0        297.502502959372        302019.509514988        2.88171002736081                    1007        2.90800998082151     0.00304742208937335     0.00257551047334587                       0 
                    7.9                    0.15     0.00326884589726484        1.11978617274718        70.0813515222945   6.68743402650973E-008     0.00120874712993083        70.0813515222945       0.202959989694941       -4498.60201418171       -1719.94596248633   1.83003441728164E-005                       0        297.479951636066        302021.693066951        3.07758148625983                    1007        3.10388143972052     0.00328118923415508     0.00275056936665541                       0 
                    7.9                    0.15     0.00350233488992662        1.11987230379305        70.4416649677351   6.66351053441313E-008     0.00130200989070667        70.4416649677351       0.204011267336659       -4498.60185324775       -1690.90202088241   1.82992554341122E-005                       0        297.457399169699        302023.876618914        3.27344315768918                    1007        3.29974311114987     0.00351495637893681     0.00292561951293021                       0 
                    7.9                    0.15     0.00373582388258839        1.11995018498814        70.7651314911712   6.63956647772796E-008     0.00139750407709709        70.7651314911712       0.204955209595466       -4498.60160919763       -1664.59799657832   1.82982712238846E-005                       0        297.436964826854        302025.878074498        3.46258664265756                    1007        3.48888659611826     0.00374872339216152     0.00309466531742339                       0 
                    7.9                    0.15     0.00396931287525017        1.12002249440187        71.0636428630184   6.62105690110278E-008     0.00149381301218409        71.0636428630184       0.205826455829018       -4498.60130895175       -1640.15155016789   1.82973579169632E-005                       0        297.417964892368        302027.752453597        3.64725177688968                    1007        3.67355173035038     0.00398249031643908     0.00325970860699445                       0 
                    7.9                    0.15     0.00420280186791194        1.12009480490239         71.362152217798    6.6027242376587E-008     0.00159008989356636         71.362152217798       0.206697696221115       -4498.60100870587       -1615.70533634622   1.82964446266248E-005                       0        297.398964957883        302029.626547802        3.83192007800491                    1007         3.8582200314656     0.00421625724071664     0.00342475472601974                       0 
                    7.9                    0.15     0.00443629086057372        1.12016363528673        71.6453048953682    6.5842363933121E-008     0.00168801489581979        71.6453048953682       0.207524190297866       -4498.60076358139       -1592.41471727168    1.8295574898236E-005                       0        297.380861660854        302031.422950402        4.01248858253761                    1007        4.03878853599831     0.00445002355154379     0.00358613671568501                       0 
