VARIABLES = "X"
 "Y"
 "Z"
 "RHO"
 "U"
 "V"
 "W"
 "VelocityMagnitude"
 "Mach"
 "P"
 "P_tot"
 "Vislam"
 "SkinFrictionCoefficient"
 "T"
 "H0"
 "COND_TURB"
 "CP"
 "COND_eff"
 "D"
 "K"
 "VIS_T"
 "YPLUS"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
     0.0520260130065033                    0.15                       0        1.11682825138594                       0                       0                       0                       0                       0       -4087.42898255768       -3577.70194142481   1.83987758800945E-005       0.021610079730128        299.555349986395        301652.247420585      0.0602164407945114                    1007      0.0865164426839787        8151771.79489744                       0   5.38180694516752E-005        6.76684804962181 
     0.0560280140070035                    0.15                       0        1.11680668911497                       0                       0                       0                       0                       0       -4088.84008715784       -3589.13207323877   1.83988412090216E-005      0.0213198093059153        299.556730559494        301653.636302526      0.0599217918487624                    1007      0.0862217937382297        8032924.14032015                       0   5.35547285211266E-005        6.73347800084506 
     0.0600300150075038                    0.15                       0        1.11678536365246                       0                       0                       0                       0                       0       -4090.16524754076       -3599.30663329712   1.83989164272817E-005      0.0210609082113942        299.558321717622        301655.237556278      0.0596548105427448                    1007      0.0859548124322121        7926825.32891445                       0    5.3316115487599E-005        6.70332829769758 
      0.064032016008004                    0.15                       0        1.11676403818994                       0                       0                       0                       0                       0       -4091.49040792369       -3609.48119335547   1.83989916455419E-005      0.0208020071168731        299.559912875749         301656.83881003      0.0593878292367272                    1007      0.0856878311261945        7820726.51750875                       0   5.30775024540715E-005        6.67317859455011 
     0.0680340170085043                    0.15                       0        1.11674368810868                       0                       0                       0                       0                       0       -4092.73359861083       -3618.97088168108    1.8399066521661E-005      0.0205596139297642        299.561495423615        301658.431246873      0.0591360213455854                    1007      0.0854360228847002        7721405.76913456                       0   5.28524508664687E-005         6.6447631417065 
     0.0720360180090045                    0.15                       0        1.11672547037689                       0                       0                       0                       0                       0       -4093.79758959069         -3626.963323825   1.83991406498015E-005      0.0203533098381152        299.563059147982        301660.004408454      0.0589173851220711                    1007      0.0852173855449033        7636903.02026012                       0   5.26570469079887E-005        6.62013905521868 
     0.0760380190095048                    0.15                       0        1.11670725264509                       0                       0                       0                       0                       0       -4094.86158057056       -3634.95576596892   1.83992147779419E-005      0.0201470057464663        299.564622872349        301661.577570035      0.0586987488985568                    1007      0.0849987482051064        7552400.27138569                       0   5.24616429495087E-005        6.59551496873085 
      0.080040020010005                    0.15                       0        1.11668903491329                       0                       0                       0                       0                       0       -4095.92557155042       -3642.94820811285   1.83992889060824E-005      0.0199407016548173        299.566186596716        301663.150731616      0.0584801126750425                    1007      0.0847801108653096        7467897.52251125                       0   5.22662389910287E-005        6.57089088224303 
     0.0840420210105053                    0.15                       0        1.11667336387119                       0                       0                       0                       0                       0       -4096.81644679762       -3649.51399943136   1.83993566463761E-005      0.0197693235154686        299.567607427371        301664.577570035      0.0582945507118528                    1007      0.0845945499662222        7397775.26763381                       0   5.21003937286497E-005        6.55001984887746 
     0.0880440220110055                    0.15                       0        1.11665775377551                       0                       0                       0                       0                       0        -4097.7031791042       -3656.04564867883   1.83994242337983E-005      0.0195987812108758        299.569024838347        301666.000906703      0.0581097802694229                    1007      0.0844097806400749        7327997.16133066                       0   5.19352558538698E-005         6.5292386321678 
