VARIABLES = "X"
 "Y"
 "Z"
 "RHO"
 "U"
 "V"
 "W"
 "VelocityMagnitude"
 "Mach"
 "P"
 "P_tot"
 "Vislam"
 "SkinFrictionCoefficient"
 "T"
 "H0"
 "COND_TURB"
 "CP"
 "COND_eff"
 "Ywall"
 "VIS_T"
 "YPLUS"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
      0.080040020010005                    0.15                       0        1.11660538076341                       0                       0                       0                       0                       0       -4156.55388631816       -3715.27161249082   1.83913715731685E-005      0.0053737729076406        299.399239231432        301495.043005878     0.00100953160426866                    1007      0.0273095313990754   2.49999993684469E-005    9.0226265187518E-007        6.52897679489693 
     0.0840420210105053                    0.15                       0        1.11657343356832                       0                       0                       0                       0                       0       -4157.41262428089       -3724.42542645835   1.83916502725554E-005     0.00531733365987556        299.405111949285        301500.961934092    0.000986394531850847                    1007       0.027286394240671   2.49999993684469E-005   8.81584027332069E-007         6.4976006706337 
     0.0880440220110055                    0.15                       0        1.11654167756133                       0                       0                       0                       0                       0       -4158.26709448474       -3733.52070578747   1.83919271629624E-005     0.00526122134360575        299.410946195754        301506.842561906    0.000963407569914763                    1007      0.0272634071915253   2.49999993684469E-005   8.61039563096299E-007         6.4663811936982 
     0.0920460230115058                    0.15                       0        1.11650992155433                       0                       0                       0                       0                       0       -4159.12156468859       -3742.61598511658   1.83922040533694E-005     0.00520510902733594        299.416780442223         301512.72318972     0.00094042060797868                    1007      0.0272404201423797   2.49999993684469E-005    8.4049509886053E-007        6.43516171676269 
      0.096048024012006                    0.15                       0        1.11648177426717                       0                       0                       0                       0                       0       -4159.89501830994       -3750.62422959527   1.83924474867467E-005     0.00515520544359278        299.421913043924         301517.89132066    0.000920256605229035                    1007       0.027220256331229   2.49999993684469E-005   8.22473645353786E-007        6.40700362192624 
      0.100050025012506                    0.15                       0        1.11645566218492                       0                       0                       0                       0                       0       -4160.62278111712       -3758.01942047684   1.83926720514075E-005     0.00510880339046518         299.42664993996        301522.657625688    0.000901684663012732                    1007       0.027201684737851   2.49999993684469E-005   8.05875090848267E-007        6.38057205067568 
      0.104052026013007                    0.15                       0        1.11642955010268                       0                       0                       0                       0                       0       -4161.35054392431       -3765.41461135841   1.83928966160683E-005     0.00506240133733757        299.431386835996        301527.423930715    0.000883112720796429                    1007      0.0271831131444731   2.49999993684469E-005   7.89276536342748E-007        6.35414047942512 
      0.108054027013507                    0.15                       0        1.11640465772408                       0                       0                       0                       0                       0       -4162.05009975691       -3772.44136521386   1.83931098163676E-005     0.00501814316804444        299.435883331681        301531.946895323    0.000865503485595714                    1007      0.0271655040578344   2.49999993684469E-005    7.7353839473496E-007        6.32879239359517 
      0.112056028014007                    0.15                       0        1.11638258211967                       0                       0                       0                       0                       0       -4162.68451462059       -3778.61725345094   1.83932967718983E-005      0.0049788360674961        299.439824648652        301535.907891446    0.000850117518530441                    1007      0.0271501177768146   2.49999993684469E-005   7.59787284018063E-007        6.30594650061504 
      0.116058029014507                    0.15                       0        1.11636050651525                       0                       0                       0                       0                       0       -4163.31892948427       -3784.79314168803    1.8393483727429E-005     0.00493952896694777        299.443765965624        301539.868887569    0.000834731551465169                    1007      0.0271347314957949   2.49999993684469E-005   7.46036173301166E-007         6.2831006076349 
